taxa	symbol
	
A0A835G8S7	REPAT-like
A0A835GA76	REPAT45
A0A835GAS3	REPAT43
A0A835L2E7	REPAT23
A0A8E4Q928	REPAT
A8QVZ5	Repat4
AT1G01010	ANAC001
AT1G01020	ARV1
AT1G01030	NGA3
AT1G01040	ASU1
AT1G01050	AtPPa1
AT1G01060	LHY
AT1G01090	PDH-E1 ALPHA
AT1G01110	IQD18
AT1G01120	KCS1
AT1G01140	CIPK9
AT1G01160	GIF2
AT1G01190	CYP78A8
AT1G01200	ATRAB-A3
AT1G01220	AtFKGP
AT1G01280	CYP703
AT1G01290	CNX3
AT1G01340	ACBK1
AT1G01360	PYL9
AT1G01370	CENH3
AT1G01380	ETC1
AT1G01410	APUM22
AT1G01420	UGT72B3
AT1G01430	TBL25
AT1G01460	ATPIPK11
AT1G01470	LEA14
AT1G01480	ACS2
AT1G01510	AN
AT1G01530	AGL28
AT1G01550	BPS1
AT1G01560	ATMPK11
AT1G01580	ATFRO2
AT1G01590	ATFRO1
AT1G01600	CYP86A4
AT1G01610	ATGPAT4
AT1G01620	PIP1;3
AT1G01650	ATSPPL4
AT1G01680	ATPUB54
AT1G01690	ATPRD3
AT1G01700	ATROPGEF2
AT1G01720	ANAC002
AT1G01750	ADF11
AT1G01790	ATKEA1
AT1G01820	PEX11C
AT1G01860	PFC1
AT1G01900	ATSBT1.1
AT1G01950	ARK2
AT1G01960	EDA10
AT1G01980	ATSEC1A
AT1G02000	GAE2
AT1G02010	SEC1A
AT1G02050	LAP6
AT1G02065	SPL8
AT1G02090	ATCSN7
AT1G02120	VAD1
AT1G02130	ARA-5
AT1G02140	HAP1
AT1G02145	ALG12
AT1G02170	AMC1
AT1G02205	CER1
AT1G02220	ANAC003
AT1G02230	ANAC004
AT1G02250	anac005
AT1G02280	ATTOC33
AT1G02310	MAN1
AT1G02335	GL22
AT1G02340	FBI1
AT1G02390	ATGPAT2
AT1G02400	ATGA2OX4
AT1G02430	ARFD1B
AT1G02440	ARFD1A
AT1G02450	NIMIN-1
AT1G02500	AtSAM1
AT1G02510	ATKCO4
AT1G02520	PGP11
AT1G02530	PGP12
AT1G02560	CLPP5
AT1G02580	EMB173
AT1G02640	ATBXL2
AT1G02680	TAF13
AT1G02690	IMPA-6
AT1G02720	GATL5
AT1G02730	ATCSLD5
AT1G02780	emb2386
AT1G02790	PGA4
AT1G02800	ATCEL2
AT1G02840	ATSRP34
AT1G02850	BGLU11
AT1G02860	BAH1
AT1G02880	TPK1
AT1G02900	ATRALF1
AT1G02910	LPA1
AT1G02920	ATGST11
AT1G02930	ATGST1
AT1G02940	ATGSTF5
AT1G02950	ATGSTF4
AT1G02970	ATWEE1
AT1G02980	ATCUL2
AT1G03000	PEX6
AT1G03060	SPI
AT1G03090	MCCA
AT1G03120	ATRAB28
AT1G03130	PSAD-2
AT1G03160	FZL
AT1G03190	ATXPD
AT1G03300	ATDUF1
AT1G03310	ATISA2
AT1G03360	ATRRP4
AT1G03380	ATATG18G
AT1G03410	2A6
AT1G03430	AHP5
AT1G03445	BSU1
AT1G03475	ATCPO-I
AT1G03490	ANAC006
AT1G03530	ATNAF1
AT1G03600	PSB27
AT1G03630	POR C
AT1G03680	ATHM1
AT1G03750	CHR9
AT1G03770	ATRING1B
AT1G03780	TPX2
AT1G03790	SOM
AT1G03800	ATERF10
AT1G03840	MGP
AT1G03860	ATPHB2
AT1G03870	FLA9
AT1G03880	CRB
AT1G03900	ATNAP4
AT1G03930	ADK1
AT1G03950	VPS2.3
AT1G03970	GBF4
AT1G03980	ATPCS2
AT1G04010	ATPSAT1
AT1G04020	ATBARD1
AT1G04050	SDG13
AT1G04070	ATTOM22-I
AT1G04080	PRP39
AT1G04100	IAA10
AT1G04110	SDD1
AT1G04120	ABCC5
AT1G04160	ATXIB
AT1G04170	EIF2 GAMMA
AT1G04180	YUC9
AT1G04220	KCS2
AT1G04240	IAA3
AT1G04250	AXR3
AT1G04260	MPI7
AT1G04270	RPS15
AT1G04310	ERS2
AT1G04370	ATERF14
AT1G04400	AT-PHH1
AT1G04440	CKL13
AT1G04450	RIC3
AT1G04510	MAC3A
AT1G04520	PDLP2
AT1G04550	BDL
AT1G04580	AAO4
AT1G04600	ATXIA
AT1G04610	YUC3
AT1G04630	MEE4
AT1G04635	EMB1687
AT1G04640	LIP2
AT1G04690	KAB1
AT1G04710	KAT1
AT1G04730	CTF18
AT1G04750	AT VAMP7B
AT1G04760	ATVAMP726
AT1G04820	TOR2
AT1G04860	ATUBP2
AT1G04870	ATPRMT10
AT1G04920	ATSPS3F
AT1G04940	TIC20
AT1G04950	ATTAF6
AT1G04980	ATPDI10
AT1G05010	ACO4
AT1G05055	ATGTF2H2
AT1G05065	CLE20
AT1G05100	MAPKKK18
AT1G05160	ATKAO1
AT1G05180	AXR1
AT1G05190	emb2394
AT1G05200	ATGLR3.4
AT1G05230	HDG2
AT1G05260	RCI3
AT1G05300	ZIP5
AT1G05385	LPA19
AT1G05420	ATOFP12
AT1G05460	SDE3
AT1G05470	CVP2
AT1G05490	chr31
AT1G05500	ATSYTE
AT1G05530	UGT2
AT1G05560	UGT1
AT1G05570	ATGSL06
AT1G05580	ATCHX23
AT1G05590	ATHEX3
AT1G05610	APS2
AT1G05620	URH2
AT1G05630	5PTASE13
AT1G05680	UGT74E2
AT1G05690	BT3
AT1G05750	CLB19
AT1G05760	RTM1
AT1G05800	DGL
AT1G05810	ARA
AT1G05820	ATSPPL5
AT1G05830	ATX2
AT1G05850	ATCTL1
AT1G05880	ARI12
AT1G05890	ARI5
AT1G05900	ATNTH2
AT1G05940	CAT9
AT1G05990	RHS1
AT1G06040	STO
AT1G06080	ADS1
AT1G06110	SKIP16
AT1G06130	GLX2-4
AT1G06149	CPuORF8
AT1G06150	EMB1444
AT1G06160	ORA59
AT1G06180	ATMYB13
AT1G06220	CLO
AT1G06225	CLE3
AT1G06230	GTE4
AT1G06280	LBD2
AT1G06290	ACX3
AT1G06310	ACX6
AT1G06390	ATGSK1
AT1G06400	ARA-2
AT1G06410	ATTPS7
AT1G06430	FTSH8
AT1G06460	ACD31.2
AT1G06490	ATGSL07
AT1G06520	ATGPAT1
AT1G06570	HPD
AT1G06670	NIH
AT1G06680	OE23
AT1G06770	DRIP1
AT1G06780	GAUT6
AT1G06800	PLA-I{gamma}1
AT1G06820	CCR2
AT1G06850	AtbZIP52
AT1G06910	TRFL7
AT1G06920	ATOFP4
AT1G06950	ATTIC110
AT1G06970	ATCHX14
AT1G07000	ATEXO70B2
AT1G07090	LSH6
AT1G07110	ATF2KP
AT1G07130	ATSTN1
AT1G07140	SIRANBP
AT1G07150	MAPKKK13
AT1G07180	ATNDI1
AT1G07230	NPC1
AT1G07240	UGT71C5
AT1G07250	UGT71C4
AT1G07260	UGT71C3
AT1G07290	GONST2
AT1G07320	RPL4
AT1G07340	ATSTP2
AT1G07370	ATPCNA1
AT1G07390	AtRLP1
AT1G07390	ReMAX
AT1G07390.1	ATRLP1
AT1G07390.1	ReMAX
AT1G07410	ATRAB-A2B
AT1G07420	ATSMO2
AT1G07430	HAI2
AT1G07490	DVL9
AT1G07510	ftsh10
AT1G07530	ATGRAS2
AT1G07540	TRFL2
AT1G07570	APK1
AT1G07570	PBL9
AT1G07570.1	PBL9
AT1G07600	ATMT-2
AT1G07610	MT1C
AT1G07620	ATOBGM
AT1G07630	PLL5
AT1G07640	OBP2
AT1G07645	ATDSI-1VOC
AT1G07670	ATECA4
AT1G07720	KCS3
AT1G07725	ATEXO70H6
AT1G07745	ATRAD51D
AT1G07770	RPS15A
AT1G07780	PAI1
AT1G07790	HTB1
AT1G07810	ACA3
AT1G07870	PBL5
AT1G07880	ATMPK13
AT1G07890	APX1
AT1G07900	LBD1
AT1G07910	ATRNL
AT1G07950	MED22B
AT1G07960	ATPDIL5-1
AT1G07980	NF-YC10
AT1G08000	GATA10
AT1G08010	GATA11
AT1G08030	TPST
AT1G08060	MOM
AT1G08065	ACA5
AT1G08070	OTP82
AT1G08080	ACA7
AT1G08090	ACH1
AT1G08100	ACH2
AT1G08130	ATLIG1
AT1G08135	ATCHX6B
AT1G08140	ATCHX6A
AT1G08150	ATCHX5
AT1G08190	ATVAM2
AT1G08200	AXS2
AT1G08250	ADT6
AT1G08260	ABO4
AT1G08290	WIP3
AT1G08300	NVL
AT1G08320	bZIP21
AT1G08370	ATDCP1
AT1G08380	PSAO
AT1G08420	BSL2
AT1G08430	ALMT1
AT1G08450	AtCRT3
AT1G08460	ATHDA8
AT1G08465	YAB2
AT1G08470	SSL3
AT1G08490	ATCPNIFS
AT1G08500	AtENODL18
AT1G08510	FATB
AT1G08520	ALB-1V
AT1G08540	ABC1
AT1G08550	AVDE1
AT1G08560	ATSYP111
AT1G08570	ACHT4
AT1G08600	ATRX
AT1G08620	PKDM7D
AT1G08630	THA1
AT1G08640	CJD1
AT1G08650	ATPPCK1
AT1G08660	MGP2
AT1G08680	AGD14
AT1G08695	SCRL3
AT1G08700	PS1
AT1G08720	ATEDR1
AT1G08730	ATXIC
AT1G08770	PRA1.E
AT1G08780	AIP3
AT1G08810	AtMYB60
AT1G08820	VAP27-2
AT1G08830	CSD1
AT1G08840	emb2411
AT1G08860	BON3
AT1G08880	G-H2AX
AT1G08910	EMB3001
AT1G08920	ESL1
AT1G08930	ERD6
AT1G08960	ATCAX11
AT1G08970	HAP5C
AT1G08980	AMI1
AT1G08990	PGSIP5
AT1G09000	ANP1
AT1G09020	ATSNF4
AT1G09030	NF-YB4
AT1G09070	(AT)SRC2
AT1G09080	BIP3
AT1G09090	ATRBOHB
AT1G09100	RPT5B
AT1G09140	ATSRP30
AT1G09155	AtPP2-B15
AT1G09180	ATSAR1
