taxa	W.3h	Pb.OS.3h	Sl.OS.3h	Sl.larvae.5.hr
AT4G37990	10.59	12.23	12.63	NA
AT2G38240	9.68	10.94	11.00	4.35
AT3G48520	9.29	11.31	11.88	4.97
AT1G43160	9.21	11.19	11.45	2.60
AT2G02990	8.60	10.11	10.36	3.74
AT3G59220	8.25	7.72	7.53	0.68
AT2G37770	8.15	10.03	10.34	1.04
AT1G10585	8.06	9.83	10.33	NA
AT3G55970	8.02	10.47	10.64	2.26
AT1G51780	7.99	8.79	9.50	2.59
AT3G46660	7.86	11.12	11.65	NA
AT4G37410	7.81	5.93	5.76	1.07
AT5G10625	7.79	8.75	8.82	0.79
AT5G63450	7.31	8.15	8.01	3.49
AT4G22470	7.27	9.36	10.05	1.46
AT5G07010	7.12	7.88	7.67	3.09
AT4G35160	7.03	8.81	9.07	2.14
AT5G61890	6.96	4.46	4.77	2.33
AT2G29460	6.93	10.16	10.83	NA
AT5G64750	6.88	8.24	8.81	3.17
AT1G68290	6.79	7.40	6.95	0.83
AT5G24140	6.72	5.57	6.65	-0.08
AT4G20970	6.54	5.85	5.89	0.25
AT5G13330	6.48	9.01	9.35	1.59
AT3G49620	6.44	8.96	10.14	NA
AT2G39030	6.34	8.06	8.03	2.40
AT1G15010	6.28	7.83	7.97	1.83
AT5G24080	6.24	6.85	7.36	NA
AT1G47130	6.17	5.99	6.00	NA
AT1G22470	6.12	7.21	7.71	0.04
AT1G54010	6.08	6.92	6.71	3.37
AT2G24210	6.05	6.70	6.71	2.27
AT1G69880	6.04	9.41	10.19	0.59
AT5G05340	5.98	8.35	9.26	1.98
AT1G51820	5.96	7.42	8.85	0.03
AT4G15210	5.96	5.44	4.96	0.99
AT5G24780	5.95	6.43	6.17	0.67
AT4G15610	5.94	6.48	6.87	1.07
AT1G15415	5.91	7.97	8.76	0.07
AT1G74000	5.83	6.36	6.47	0.70
AT2G45570	5.75	9.43	9.75	0.09
AT4G12480	5.74	5.48	7.00	NA
AT2G39350	5.72	6.54	7.64	1.79
AT3G11480	5.54	9.82	10.22	2.61
AT1G73325	5.54	3.66	3.63	1.74
AT3G55090	5.54	7.39	7.57	0.38
AT1G05680	5.54	9.22	9.76	NA
AT4G18170	5.54	6.86	6.89	1.04
AT5G13220	5.52	7.26	7.18	3.79
AT5G17860	5.52	8.31	8.75	1.50
AT5G01380	5.51	7.00	6.42	1.26
AT4G10290	5.50	5.82	6.69	NA
AT2G30830	5.47	7.19	7.67	0.25
AT4G16590	5.46	3.34	2.78	2.60
AT4G17470	5.46	5.95	5.21	0.89
AT2G36590	5.45	5.90	6.75	NA
AT3G11340	5.44	9.45	9.78	-0.04
AT5G44570	5.37	7.67	7.97	0.06
AT5G51060	5.33	8.28	8.63	0.16
AT1G65730	5.33	5.95	6.38	0.47
