taxa	In11_one_hr	six_hr
Vigun02g188900	7.96	5.27
Vigun11g026400	7.34	2.22
Vigun03g265000	7.05	3.76
Vigun05g148700	6.95	1.24
Vigun03g166200	6.76	1.83
Vigun04g045700	6.59	2.10
Vigun01g140500	6.20	2.26
Vigun02g189000	6.15	4.11
Vigun03g328300	6.14	0.73
Vigun11g026600	5.93	3.79
Vigun11g026500	5.86	4.62
Vigun11g039400	5.80	2.76
Vigun11g158400	5.66	1.24
Vigun08g172300	5.61	1.46
Vigun07g131600	5.50	1.23
Vigun10g089200	5.44	3.00
Vigun03g418500	5.27	0.50
Vigun04g104700	5.10	0.13
Vigun03g191300	4.94	0.65
Vigun01g193400	4.76	0.44
Vigun03g343600	4.72	-0.72
Vigun03g156400	4.67	-0.16
Vigun03g175900	4.64	7.82
Vigun03g272700	4.58	0.50
Vigun11g125300	4.57	0.97
Vigun07g256300	4.56	1.72
Vigun11g009600	4.45	0.94
Vigun01g153100	4.40	3.36
Vigun04g153700	4.35	1.61
Vigun01g105100	4.29	1.50
Vigun01g137700	4.29	0.72
Vigun03g109300	4.19	2.81
Vigun05g210900	4.03	0.71
Vigun03g001700	3.96	0.45
Vigun01g052900	3.86	0.96
Vigun05g194400	3.76	1.00
Vigun07g088500	3.74	0.46
Vigun06g165400	3.70	2.23
Vigun09g030900	3.67	-0.68
Vigun03g226900	3.66	2.05
Vigun02g075200	3.65	3.77
Vigun01g010600	3.64	2.78
Vigun11g135000	3.64	-0.50
Vigun11g096800	3.57	-1.22
Vigun05g017000	3.56	0.14
Vigun03g078800	3.55	0.69
Vigun09g244900	3.53	0.09
Vigun06g049800	3.49	2.22
Vigun03g073300	3.49	1.50
Vigun08g218800	3.43	0.31
Vigun05g096900	3.42	1.26
Vigun09g237100	3.41	-0.38
Vigun07g136500	3.40	-0.98
Vigun03g048500	3.38	2.18
Vigun06g208400	3.35	0.02
Vigun11g121400	3.35	2.57
Vigun04g112000	3.34	1.69
Vigun09g026500	3.33	-0.28
Vigun05g008700	3.28	0.98
Vigun07g225200	3.18	1.14
Vigun05g181300	3.10	3.20
Vigun07g267000	3.04	0.44
Vigun04g072800	3.02	-0.07
Vigun04g128000	3.02	6.48
Vigun06g072300	3.01	0.82
Vigun03g282000	3.01	1.38
Vigun02g117200	3.00	0.34
Vigun08g075000	3.00	1.29
Vigun09g234400	2.98	0.65
Vigun02g066900	2.97	0.68
Vigun02g178400	2.96	2.29
Vigun10g082900	2.92	0.26
Vigun08g049000	2.89	0.38
Vigun03g147800	2.87	0.62
Vigun07g156600	2.79	-0.51
Vigun03g252000	2.78	2.22
Vigun09g178400	2.77	1.04
Vigun09g234800	2.73	1.55
Vigun05g243200	2.70	0.68
Vigun01g042500	2.69	2.28
Vigun02g066800	2.66	0.31
Vigun05g167600	2.66	0.04
