taxa	Pv_Undmg	Dmg1hr	Inc1hr	H10m	In10m
Phvul.001G000100.1	5.57	5.52	5.78	5.70	5.83
Phvul.001G000100.1	4.30	4.12	4.78	5.01	4.62
Phvul.001G000200.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G000200.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G000300.1	8.60	8.79	8.51	8.54	8.65
Phvul.001G000400.1	8.99	8.63	8.66	8.90	8.94
Phvul.001G000500.1	5.56	5.66	4.50	5.44	5.15
Phvul.001G000600.1	3.95	4.03	3.05	4.18	3.64
Phvul.001G000700.1	8.03	8.01	7.74	7.96	8.07
Phvul.001G000800.1	7.17	5.75	7.30	6.78	7.10
Phvul.001G000900.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G001000.1	7.53	7.23	7.25	7.54	7.50
Phvul.001G001100.1	8.39	7.59	7.09	8.72	8.27
Phvul.001G001200.1	7.26	6.97	6.55	7.32	7.44
Phvul.001G001300.1	8.73	11.39	11.42	8.74	8.62
Phvul.001G001400.1	8.40	8.38	8.61	8.31	8.46
Phvul.001G001400.1	8.79	8.76	8.98	8.83	8.84
Phvul.001G001500.1	8.77	9.56	8.91	8.53	8.68
Phvul.001G001600.1	7.09	7.14	7.18	7.31	6.98
Phvul.001G001700.1	6.48	6.69	6.60	6.77	6.57
Phvul.001G001800.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G001900.1	10.60	10.03	10.88	10.58	10.71
Phvul.001G002000.1	8.11	7.57	7.26	8.18	7.92
Phvul.001G002100.1	12.34	11.61	11.95	12.05	12.38
Phvul.001G002200.1	4.72	6.90	9.46	9.06	9.01
Phvul.001G002300.1	2.06	2.13	2.66	1.45	2.04
Phvul.001G002400.1	6.79	7.17	6.95	7.12	6.93
Phvul.001G002500.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G002600.1	5.75	5.68	5.50	5.80	5.39
Phvul.001G002700.1	7.57	7.28	7.05	7.45	7.46
Phvul.001G002800.1	5.19	6.79	6.83	5.27	5.45
Phvul.001G002900.1	-1.00	0.60	0.09	-1.55	-0.68
Phvul.001G003000.1	6.50	5.94	5.75	6.18	6.49
Phvul.001G003100.1	7.13	7.07	6.82	7.07	7.19
Phvul.001G003200.1	9.08	9.54	9.39	9.36	9.18
Phvul.001G003300.1	2.16	3.61	1.79	2.50	2.51
Phvul.001G003400.1	5.14	3.44	2.66	4.40	4.68
Phvul.001G003500.1	10.10	10.03	10.08	10.08	10.05
Phvul.001G003600.1	8.64	8.67	8.58	8.60	8.63
Phvul.001G003700.1	4.80	5.29	3.61	4.66	3.99
Phvul.001G003800.1	2.90	3.43	3.28	3.18	0.92
Phvul.001G003900.1	-1.68	0.40	-0.49	-0.45	-0.87
Phvul.001G004000.1	11.12	11.34	11.55	10.93	11.01
Phvul.001G004100.1	7.43	7.55	7.90	7.30	7.32
Phvul.001G004200.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G004300.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G004400.1	1.99	1.90	2.86	2.37	1.51
Phvul.001G004500.1	7.94	6.96	7.32	7.58	7.72
Phvul.001G004600.1	6.78	7.67	5.89	6.81	6.63
Phvul.001G004700.1	9.01	9.97	10.89	9.99	10.15
Phvul.001G004800.1	8.47	8.24	8.20	8.24	8.47
Phvul.001G004900.1	7.42	9.78	11.25	7.78	7.81
Phvul.001G005000.1	8.83	9.36	10.72	9.18	9.07
Phvul.001G005100.1	2.13	1.18	1.95	2.31	1.98
Phvul.001G005200.1	10.15	10.83	10.14	10.38	10.32
Phvul.001G005300.1	3.71	3.79	2.72	3.73	3.32
Phvul.001G005400.1	8.22	8.46	9.18	8.03	8.23
Phvul.001G005500.1	9.61	9.60	9.25	9.58	9.55
Phvul.001G005600.1	7.87	7.95	8.06	7.87	7.86
Phvul.001G005700.1	6.70	7.08	6.66	6.80	6.84
Phvul.001G005800.1	-1.35	2.21	1.83	-0.56	-3.32
Phvul.001G005900.1	9.09	8.98	8.44	9.31	9.02
Phvul.001G006000.1	8.99	8.97	8.97	9.01	8.93
Phvul.001G006100.1	-0.70	-0.79	-3.32	-3.32	-2.00
Phvul.001G006200.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G006300.1	9.09	9.78	10.43	9.26	9.22
Phvul.001G006400.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G006500.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G006600.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G006700.1	4.70	5.21	4.69	4.98	4.77
Phvul.001G006800.1	9.37	8.49	8.55	9.35	9.29
Phvul.001G006900.1	7.36	7.62	7.80	7.41	7.56
Phvul.001G007000.1	6.59	7.35	6.40	6.50	6.50
Phvul.001G007100.1	8.25	7.52	7.03	8.18	8.16
Phvul.001G007200.1	6.41	5.92	5.90	6.48	6.26
Phvul.001G007300.1	8.67	7.74	7.48	8.82	8.62
Phvul.001G007400.1	6.03	5.85	5.83	6.30	5.94
Phvul.001G007500.1	10.18	9.86	9.79	10.06	10.26
Phvul.001G007600.1	6.29	6.31	6.41	6.49	6.19
Phvul.001G007700.1	8.99	9.19	9.01	9.13	9.05
Phvul.001G007800.1	3.17	0.93	-1.75	1.85	2.72
Phvul.001G007900.1	9.52	9.46	9.58	9.54	9.45
Phvul.001G008000.1	10.08	10.91	10.30	9.98	10.04
Phvul.001G008100.1	-3.32	-1.79	-1.82	-3.32	-0.67
Phvul.001G008200.1	4.96	5.08	5.22	5.63	5.26
Phvul.001G008300.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G008400.1	8.03	7.54	6.96	8.07	8.08
Phvul.001G008500.1	5.25	5.75	5.73	5.83	5.42
Phvul.001G008600.1	9.49	9.39	9.31	9.34	9.44
Phvul.001G008700.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G008800.1	-3.32	-3.32	-3.32	-3.32	-3.32
Phvul.001G008900.1	6.26	7.00	9.12	5.94	6.29
Phvul.001G009000.1	9.52	10.10	10.72	9.68	9.76
Phvul.001G009100.1	9.04	9.06	9.41	9.13	9.04
Phvul.001G009200.1	3.69	3.86	2.69	3.62	4.04
Phvul.001G009300.1	9.89	9.69	9.51	9.75	9.67
Phvul.001G009400.1	8.89	9.10	9.07	8.98	8.90
Phvul.001G009500.1	8.72	8.51	8.46	8.53	8.72
Phvul.001G009600.1	2.54	0.81	1.75	1.98	1.56
Phvul.001G009700.1	7.46	7.00	6.12	7.49	7.25
Phvul.001G009800.1	3.55	2.80	3.09	3.72	3.46
Phvul.001G009900.1	12.74	12.41	12.67	12.58	12.87
Phvul.001G010000.1	3.56	3.66	3.59	4.03	3.56
Phvul.001G010000.1	2.42	2.68	1.95	1.69	2.72
Phvul.001G010100.1	6.33	6.81	5.70	6.54	6.17
Phvul.001G010200.1	8.26	7.63	7.40	8.02	8.15
Phvul.001G010300.1	5.42	6.01	5.48	5.91	5.36
Phvul.001G010400.1	-1.35	-1.77	-0.42	-0.56	-0.11
Phvul.001G010500.1	9.04	8.92	8.93	8.99	8.99
Phvul.001G010600.1	3.12	3.58	3.58	2.52	1.22
Phvul.001G010700.1	10.11	9.31	8.72	9.79	9.95
Phvul.001G010800.1	11.21	10.92	11.08	11.06	11.29
Phvul.001G010900.1	10.65	10.68	9.88	10.46	10.47
Phvul.001G011000.1	8.91	8.49	8.13	8.90	8.79
Phvul.001G011100.1	8.26	7.67	7.56	8.34	8.11
Phvul.001G011200.1	10.35	9.96	10.20	10.17	10.31
Phvul.001G011300.1	-0.57	0.12	1.86	-2.18	-0.87
Phvul.001G011400.1	6.73	6.78	7.08	7.01	7.06
Phvul.001G011500.1	8.65	8.16	7.85	8.41	8.51
