taxa	log2fold_1hr
Phvul.01G0001001.1	0.25
Phvul.01G0001002.1	0.43
Phvul.01G0002000.1	NA
Phvul.01G0002001.1	NA
Phvul.001G000300.1	-0.26
Phvul.001G000400.1	0.03
Phvul.001G000500.1	-0.92
Phvul.001G000600.1	-0.61
Phvul.001G000700.1	-0.24
Phvul.001G000800.1	1.35
Phvul.001G000900.1	NA
Phvul.001G001000.1	0.01
Phvul.001G001100.1	-0.45
Phvul.001G001200.1	-0.42
Phvul.001G001300.1	0.06
Phvul.001G001400.1	0.23
Phvul.001G001400.1	0.22
Phvul.001G001500.1	-0.56
Phvul.001G001600.1	0.04
Phvul.001G001700.1	-0.12
Phvul.001G001800.1	NA
Phvul.001G001900.1	0.83
Phvul.001G002000.1	-0.25
Phvul.001G002100.1	0.32
Phvul.001G002200.1	2.49
Phvul.001G002300.1	0.35
Phvul.001G002400.1	-0.2
Phvul.001G002500.1	NA
Phvul.001G002600.1	-0.16
Phvul.001G002700.1	-0.23
Phvul.001G002800.1	0.05
Phvul.001G002900.1	0.17
Phvul.001G003000.1	-0.19
Phvul.001G003100.1	-0.25
Phvul.001G003200.1	-0.14
Phvul.001G003300.1	-1.13
Phvul.001G003400.1	-0.58
Phvul.001G003500.1	0.05
Phvul.001G003600.1	-0.08
Phvul.001G003700.1	-1.61
Phvul.001G003800.1	0.06
Phvul.001G003900.1	-0.04
Phvul.001G004000.1	0.19
Phvul.001G004100.1	0.36
Phvul.001G004200.1	NA
Phvul.001G004300.1	NA
Phvul.001G004400.1	0.76
Phvul.001G004500.1	0.37
Phvul.001G004600.1	-0.84
Phvul.001G004700.1	0.92
Phvul.001G004800.1	-0.04
Phvul.001G004900.1	1.32
Phvul.001G005000.1	1.33
Phvul.001G005100.1	0.33
Phvul.001G005200.1	-0.68
Phvul.001G005300.1	-0.74
Phvul.001G005400.1	0.72
Phvul.001G005500.1	-0.36
Phvul.001G005600.1	0.12
Phvul.001G005700.1	-0.37
Phvul.001G005800.1	-0.39
Phvul.001G005900.1	-0.51
Phvul.001G006000.1	-0.01
Phvul.001G006100.1	-0.59
Phvul.001G006200.1	NA
Phvul.001G006300.1	0.46
Phvul.001G006400.1	NA
Phvul.001G006500.1	NA
Phvul.001G006600.1	NA
Phvul.001G006700.1	-0.48
Phvul.001G006800.1	0.05
Phvul.001G006900.1	0.17
Phvul.001G007000.1	-0.89
Phvul.001G007100.1	-0.49
Phvul.001G007200.1	-0.02
Phvul.001G007300.1	-0.27
Phvul.001G007400.1	-0.02
Phvul.001G007500.1	-0.07
Phvul.001G007600.1	0.1
Phvul.001G007700.1	-0.18
Phvul.001G007800.1	-0.48
Phvul.001G007900.1	0.12
Phvul.001G008000.1	-0.59
Phvul.001G008100.1	0.03
Phvul.001G008200.1	0.13
Phvul.001G008300.1	NA
Phvul.001G008400.1	-0.57
Phvul.001G008500.1	-0.03
Phvul.001G008600.1	-0.08
Phvul.001G008700.1	NA
Phvul.001G008800.1	NA
Phvul.001G008900.1	1.67
Phvul.001G009000.1	0.6
Phvul.001G009100.1	0.35
Phvul.001G009200.1	-0.63
Phvul.001G009300.1	-0.19
Phvul.001G009400.1	-0.03
Phvul.001G009500.1	-0.06
Phvul.001G009600.1	-0.28
Phvul.001G009700.1	-0.85
Phvul.001G009800.1	0.28
Phvul.001G009900.1	0.25
Phvul.001G010000.1	-0.04
Phvul.001G010000.1	-0.57
Phvul.001G010100.1	-0.8
Phvul.001G010200.1	-0.21
Phvul.001G010300.1	-0.46
Phvul.001G010400.1	0.16
Phvul.001G010500.1	0
Phvul.001G010600.1	0.13
Phvul.001G010700.1	-0.5
Phvul.001G010800.1	0.18
Phvul.001G010900.1	-0.79
Phvul.001G011000.1	-0.35
Phvul.001G011100.1	-0.1
Phvul.001G011200.1	0.25
Phvul.001G011300.1	0.25
Phvul.001G011400.1	0.29
Phvul.001G011500.1	-0.31
Phvul.001G011600.1	-0.09
Phvul.001G011700.1	1.54
Phvul.001G011800.1	-1.05
Phvul.001G011900.1	-0.92
Phvul.001G012000.1	-0.37
Phvul.001G012100.1	0.18
Phvul.001G012200.1	-0.54
Phvul.001G012300.1	-0.19
Phvul.001G012400.1	0.17
Phvul.001G012500.1	0.24
Phvul.001G012600.1	-0.66
Phvul.001G012700.1	NA
Phvul.001G012800.1	1.32
Phvul.001G012900.1	0.82
Phvul.001G013000.1	0.17
Phvul.001G013100.1	-0.4
Phvul.001G013200.1	-0.66
Phvul.001G013300.1	-1.02
Phvul.001G013400.1	-0.51
Phvul.001G013500.1	-0.34
Phvul.001G013600.1	-0.8
Phvul.001G013700.1	-0.26
Phvul.001G013800.1	2.8
Phvul.001G013900.1	0.68
Phvul.001G014000.1	0.19
Phvul.001G014100.1	0.86
Phvul.001G014200.1	0.29
Phvul.001G014300.1	0.99
Phvul.001G014400.1	1.14
Phvul.001G014500.1	-0.08
Phvul.001G014600.1	-0.3
Phvul.001G014700.1	-0.39
Phvul.001G014800.1	0.34
Phvul.001G014900.1	-0.56
Phvul.001G015000.1	-0.21
Phvul.001G015100.1	0.11
Phvul.001G015200.1	1.53
Phvul.001G015200.1	NA
Phvul.001G015300.1	0.98
Phvul.001G015400.1	-0.4
Phvul.001G015500.1	0.29
Phvul.001G015600.1	0.29
Phvul.001G015700.1	-0.67
Phvul.001G015800.1	-0.45
Phvul.001G015900.1	0.21
Phvul.001G016000.1	0.25
Phvul.001G016100.1	0.48
Phvul.001G016200.1	-0.47
Phvul.001G016300.1	NA
Phvul.001G016400.1	-0.67
Phvul.001G016500.1	0.4
Phvul.001G016600.1	0.38
Phvul.001G016700.1	-0.62
Phvul.001G016800.1	0.42
Phvul.001G016900.1	0.23
Phvul.001G017000.1	1.51
Phvul.001G017100.1	1.9
Phvul.001G017200.1	NA
Phvul.001G017300.1	0.09
Phvul.001G017400.1	0.04
Phvul.001G017500.1	-0.11
Phvul.001G017600.1	-0.19
Phvul.001G017700.1	-0.03
Phvul.001G017800.1	1.14
Phvul.001G017900.1	-0.87
Phvul.001G018000.1	-0.34
Phvul.001G018100.1	-0.38
Phvul.001G018200.1	-0.24
Phvul.001G018300.1	-0.36
Phvul.001G018400.1	0
Phvul.001G018500.1	-0.32
Phvul.001G018600.1	-0.48
Phvul.001G018700.1	0.36
Phvul.001G018800.1	0.35
Phvul.001G018900.1	-0.16
Phvul.001G019000.1	0.14
Phvul.001G019100.1	0.79
Phvul.001G019200.1	2.25
Phvul.001G019300.1	4.06
Phvul.001G019400.1	-0.5
Phvul.001G019500.1	1.64
Phvul.001G019600.1	0.41
Phvul.001G019700.1	-0.05
Phvul.001G019800.1	0.9
Phvul.001G019900.1	-0.02
Phvul.001G020000.1	0.71
Phvul.001G020100.1	-0.48
Phvul.001G020200.1	-0.22
Phvul.001G020300.1	1.58
Phvul.001G020400.1	-0.16
Phvul.001G020500.1	-1.99
Phvul.001G020600.1	-0.07
Phvul.001G020700.1	0.31
Phvul.001G020800.1	-0.35
Phvul.001G020900.1	0.05
Phvul.001G021000.1	-0.65
Phvul.001G021100.1	-0.11
Phvul.001G021200.1	0.19
Phvul.001G021300.1	-1.32
Phvul.001G021400.1	0.25
Phvul.001G021500.1	0.64
Phvul.001G021600.1	0.91
Phvul.001G021700.1	1.05
Phvul.001G021800.1	-0.65
Phvul.001G021900.1	0.81
Phvul.001G022000.1	-0.04
Phvul.001G022100.1	0.28
Phvul.001G022200.1	-0.27
Phvul.001G022300.1	0.11
Phvul.001G022400.1	0
Phvul.001G022500.1	-0.08
Phvul.001G022600.1	0.17
Phvul.001G022700.1	-0.4
Phvul.001G022800.1	0.46
Phvul.001G022900.1	-0.68
Phvul.001G023000.1	1.24
Phvul.001G023100.1	0.01
Phvul.001G023200.1	0.92
Phvul.001G023300.1	0.1
Phvul.001G023400.1	0.33
Phvul.001G023500.1	0.11
Phvul.001G023600.1	-2.1
Phvul.001G023700.1	0.29
Phvul.001G023800.1	-0.2
Phvul.001G023900.1	-0.56
Phvul.001G024000.1	1.75
Phvul.001G024100.1	0.94
Phvul.001G024200.1	-0.4
Phvul.001G024300.1	0.06
Phvul.001G024400.1	-0.73
Phvul.001G024500.1	-0.02
Phvul.001G024600.1	0.28
Phvul.001G024700.1	0.57
Phvul.001G024800.1	0.73
Phvul.001G024900.1	-0.04
Phvul.001G025000.1	-0.98
Phvul.001G025100.1	-0.4
Phvul.001G025200.1	-0.05
Phvul.001G025300.1	2.55
Phvul.001G025400.1	0.15
Phvul.001G025500.1	0.74
Phvul.001G025600.1	0.4
Phvul.001G025700.1	0.11
Phvul.001G025800.1	-0.39
Phvul.001G025900.1	-0.95
Phvul.001G026000.1	0.77
Phvul.001G026100.1	0.33
Phvul.001G026200.1	-0.11
Phvul.001G026300.1	0.06
Phvul.001G026400.1	-0.29
Phvul.001G026500.1	0.18
Phvul.001G026600.1	0.99
Phvul.001G026700.1	0.67
Phvul.001G026800.1	NA
Phvul.001G026900.1	0.25
Phvul.001G027000.1	0
Phvul.001G027100.1	0.18
Phvul.001G027200.1	0.28
Phvul.001G027300.1	0.21
Phvul.001G027400.1	0.03
Phvul.001G027500.1	-0.22
Phvul.001G027600.1	-0.47
Phvul.001G027700.1	-0.65
Phvul.001G027800.1	0.28
Phvul.001G027900.1	-0.09
Phvul.001G028000.1	-0.18
Phvul.001G028100.1	-0.2
Phvul.001G028200.1	-0.12
Phvul.001G028300.1	0.14
Phvul.001G028400.1	-0.22
Phvul.001G028500.1	0.04
Phvul.001G028600.1	-0.15
Phvul.001G028700.1	0.68
Phvul.001G028800.1	-0.82
Phvul.001G028900.1	-0.17
Phvul.001G029000.1	-0.53
Phvul.001G029100.1	-0.15
Phvul.001G029200.1	0.38
Phvul.001G029300.1	-0.4
Phvul.001G029400.1	-0.86
Phvul.001G029500.1	-0.76
Phvul.001G029600.1	-0.16
Phvul.001G029700.1	-1.36
Phvul.001G029800.1	0.01
Phvul.001G029900.1	0.31
Phvul.001G030000.1	0.28
Phvul.001G030100.1	NA
Phvul.001G030200.1	0.1
Phvul.001G030300.1	0.11
Phvul.001G030400.1	NA
Phvul.001G030500.1	0.25
Phvul.001G030600.1	0.04
Phvul.001G030700.1	0.15
Phvul.001G030800.1	0.98
Phvul.001G030900.1	0.51
Phvul.001G031000.1	-0.69
Phvul.001G031100.1	0.18
Phvul.001G031200.1	-0.33
Phvul.001G031300.1	-0.15
Phvul.001G031400.1	-0.4
Phvul.001G031500.1	0.71
Phvul.001G031600.1	-0.36
Phvul.001G031700.1	-0.18
Phvul.001G031800.1	-0.23
Phvul.001G031900.1	-0.14
Phvul.001G032000.1	-0.24
Phvul.001G032100.1	0.09
Phvul.001G032200.1	0
Phvul.001G032300.1	-0.04
Phvul.001G032400.1	0.5
Phvul.001G032500.1	-0.05
Phvul.001G032600.1	0.76
Phvul.001G032700.1	-0.05
Phvul.001G032800.1	0.16
Phvul.001G032900.1	-0.15
Phvul.001G033000.1	NA
Phvul.001G033100.1	0.42
Phvul.001G033200.1	-0.31
Phvul.001G033300.1	0.15
Phvul.001G033400.1	-0.2
Phvul.001G033500.1	0.53
Phvul.001G033600.1	NA
Phvul.001G033600.1	NA
Phvul.001G033700.1	1.01
Phvul.001G033800.1	0.69
Phvul.001G033900.1	-0.19
Phvul.001G034000.1	0.61
Phvul.001G034100.1	-0.72
