taxa	Und_1hr	W+H2O_1hr	W+In11_1hr	W+H2O_6hr	W+In11_6hr
Vigun01g000100	2.85	1.77	1.37	2.63	2.63
Vigun01g000200	7.83	7.55	8.2	7.58	7.77
Vigun01g000300	3.61	2.46	2.93	3.67	3.29
Vigun01g000400	4.26	3.73	3.66	3.51	3.42
Vigun01g000500	4.82	4.52	4.71	4.61	4.82
Vigun01g000600	na	na	na	na	na
Vigun01g000700	6.81	6.51	6.66	7.62	7.31
Vigun01g000800	2.93	3.3	2.59	2.79	3.33
Vigun01g000900	0.53	1.5	0.25	0.35	1.56
Vigun01g001000	1.38	2.47	0.84	2.3	0.49
Vigun01g001100	na	na	na	na	na
Vigun01g001200	1.99	2.17	3.2	0.51	-1.1
Vigun01g001300	8.8	8.52	8.71	8.86	9.15
Vigun01g001400	2.78	2.15	1.88	2.55	2.94
Vigun01g001500	6.26	6.03	6.18	6.27	5.61
Vigun01g001600	8.74	8.47	8.58	8.21	8.13
Vigun01g001700	na	-0.45	-1.47	na	na
Vigun01g001800	7.56	6.85	6.93	6.48	6.35
Vigun01g001900	8.49	8.01	8.27	8.2	8.25
Vigun01g002000	8.5	8.11	8.13	7.5	7.34
Vigun01g002100	5.57	5.93	5.81	6.4	6.65
Vigun01g002200	6.03	6.14	5.77	6.57	5.83
Vigun01g002300	5.69	5.61	5.37	5.16	5.56
Vigun01g002400	3.93	3.56	3.98	3.99	4.55
Vigun01g002500	4.32	4.56	4.32	3.42	4.07
Vigun01g002600	4.28	4.66	4.62	2.28	2.65
Vigun01g002700	na	-1.41	na	na	na
Vigun01g002800	1.68	2.78	2.94	2.27	0.08
Vigun01g002900	6.76	7.85	8.27	6.83	7.02
Vigun01g003000	9.78	9.97	9.6	9.33	9.29
Vigun01g003100	5.46	4.56	4.89	5.16	4.69
Vigun01g003200	1.62	0.9	0.2	1.6	1.71
Vigun01g003300	0.05	2.65	2.64	-1.27	-0.21
Vigun01g003400	2	1.53	1.71	1.41	2.61
