taxa	log2fold_1hr
Vigun01g000600	0
Vigun01g001100	0
Vigun01g004800	0
Vigun01g005100	0
Vigun01g008300	0
Vigun01g008400	0
Vigun01g009200	0
Vigun01g011000	0
Vigun01g011900	0
Vigun01g012200	0
Vigun01g012400	0
Vigun01g013300	0
Vigun01g015100	0
Vigun01g015200	0
Vigun01g015300	0
Vigun01g016300	0
Vigun01g017500	0
Vigun01g017600	0
Vigun01g017700	0
Vigun01g017800	0
Vigun01g017900	0
Vigun01g018000	0
Vigun01g018100	0
Vigun01g018200	0
Vigun01g018300	0
Vigun01g018400	0
Vigun01g018500	0
Vigun01g018600	0
Vigun01g018700	0
Vigun01g018800	0
Vigun01g018900	0
Vigun01g019000	0
Vigun01g019100	0
Vigun01g019200	0
Vigun01g019300	0
Vigun01g020700	0
Vigun01g021000	0
Vigun01g022400	0
Vigun01g022500	0
Vigun01g022600	0
Vigun01g025000	0
Vigun01g025100	0
Vigun01g025400	0
Vigun01g026100	0
Vigun01g026400	0
Vigun01g028100	0
Vigun01g028200	0
Vigun01g028800	0
Vigun01g029900	0
Vigun01g030200	0
Vigun01g031500	0
Vigun01g032500	0
Vigun01g032600	0
Vigun01g032700	0
Vigun01g032800	0
Vigun01g032900	0
Vigun01g033000	0
Vigun01g033100	0
Vigun01g033200	0
Vigun01g033300	0
Vigun01g033400	0
Vigun01g033700	0
Vigun01g033900	0
Vigun01g034000	0
Vigun01g035300	0
Vigun01g035400	0
Vigun01g035600	0
Vigun01g035900	0
Vigun01g036000	0
Vigun01g037400	0
Vigun01g037500	0
Vigun01g038100	0
Vigun01g039400	0
Vigun01g042100	0
Vigun01g042800	0
Vigun01g043200	0
Vigun01g044100	0
Vigun01g045100	0
Vigun01g046200	0
Vigun01g046400	0
Vigun01g046500	0
Vigun01g047400	0
Vigun01g047700	0
Vigun01g049100	0
Vigun01g049600	0
Vigun01g050800	0
Vigun01g051500	0
Vigun01g051600	0
Vigun01g053000	0
Vigun01g053600	0
Vigun01g053900	0
Vigun01g055000	0
Vigun01g055800	0
Vigun01g056300	0
Vigun01g056600	0
Vigun01g057100	0
Vigun01g057500	0
Vigun01g057600	0
Vigun01g057700	0
Vigun01g057900	0
