taxa	NGP_WH_1h_l2FC	NGP_InH_1h_l2FC	NGP_flg22H_1h_l2FC	NGP_WH_6h_l2FC	NGP_InH_6h_l2FC	NGP_flg22H_6h_l2FC
Vigun01g045101	-0.07	-0.24	5.59	0.22	-1.41	0.54
Vigun09g250300	-2.09	0.17	5.09	6.70	7.53	0.52
Vigun11g073500	-0.07	-0.24	4.83	-1.33	-0.03	-0.26
Vigun03g199200	-0.07	3.09	4.27	5.26	8.22	0.91
Vigun11g164200	-0.79	6.69	4.05	0.12	3.55	2.43
Vigun10g033800	-0.07	2.99	3.88	1.01	0.60	-0.21
Vigun02g013000	-1.37	1.67	3.83	6.91	6.80	-0.05
Vigun02g129000	-0.79	7.15	3.81	2.69	4.21	0.69
Vigun06g160200	-0.07	5.97	3.78	3.00	4.88	1.80
Vigun09g264866	-2.79	1.22	3.77	0.40	0.67	0.67
Vigun02g098400	15.69	0.00	3.76	29.96	0.00	-7.30
Vigun05g224600	-0.07	3.65	3.70	5.17	5.89	0.36
Vigun03g190300	-4.42	-1.34	3.66	-3.42	-1.48	1.74
Vigun01g024100	1.38	3.52	3.58	7.26	8.85	0.91
Vigun01g225000	-0.07	2.80	3.58	5.70	7.11	0.64
Vigun02g103901	-2.08	0.29	3.53	3.30	4.54	0.92
Vigun05g089300	1.87	3.82	3.53	5.48	7.89	0.77
Vigun06g153900	-0.07	-0.24	3.49	0.80	2.62	1.14
Vigun07g265600	0.65	0.48	3.48	-0.60	0.03	-0.26
Vigun09g192900	-2.56	-0.72	3.47	1.22	-1.45	0.58
Vigun09g052600	1.36	3.78	3.43	8.56	9.52	0.31
Vigun01g005800	-1.52	-0.07	3.29	4.71	5.14	0.25
Vigun04g001801	-0.79	-0.24	3.24	1.03	0.59	-0.60
Vigun02g127500	-1.52	1.12	3.17	-0.60	-0.69	2.27
Vigun05g231700	-0.64	3.61	3.16	3.51	4.28	0.90
Vigun02g053800	0.65	4.19	3.16	4.69	4.89	0.26
Vigun06g159100	-0.07	3.66	3.14	5.01	8.19	1.47
Vigun03g141500	-0.07	2.20	3.13	4.82	6.27	1.07
Vigun10g178900	0.65	3.90	3.11	0.64	-1.41	-2.23
Vigun07g055700	-0.79	1.49	3.11	0.12	0.03	2.42
Vigun08g038750	-4.04	-2.91	3.11	-0.57	-0.73	-0.30
Vigun07g245500	0.65	1.22	3.08	-0.60	0.03	3.48
Vigun01g099932	-3.33	-2.06	3.06	-0.56	-0.21	0.30
Vigun03g049100	-2.10	0.76	3.05	-3.63	-3.71	1.22
Vigun04g075300	-2.45	-0.57	3.03	0.03	-1.36	-0.27
Vigun03g142100	-1.07	-0.25	3.02	5.29	6.99	1.40
Vigun03g050300	-1.39	-0.23	3.01	7.35	6.74	-0.91
Vigun11g013401	-2.77	-2.22	3.01	0.68	1.04	-0.81
Vigun05g246732	1.31	2.05	3.01	2.26	7.71	3.08
Vigun03g270050	-2.94	-0.59	2.97	-1.52	-0.56	0.86
Vigun03g418300	-1.52	-0.97	2.97	-1.33	1.94	2.68
Vigun02g075200	1.86	6.25	2.96	5.59	7.40	0.86
Vigun11g046000	1.12	2.01	2.96	4.25	8.78	2.57
Vigun07g121400	0.65	1.79	2.96	5.45	8.58	1.35
Vigun03g306400	-0.07	2.80	2.95	4.65	7.89	1.13
Vigun06g075600	0.00	1.75	2.94	0.00	-0.69	0.46
Vigun05g003500	0.65	4.77	2.91	3.53	5.15	-0.52
Vigun03g096000	1.06	2.12	2.91	6.82	8.11	0.51
VigunL028201	-4.12	-1.99	2.90	-4.09	-4.90	0.43
Vigun01g220400	0.65	2.80	2.89	3.82	5.16	0.47
Vigun03g108700	-1.79	0.77	2.89	-0.51	0.72	0.30
Vigun03g233200	-0.79	3.19	2.86	1.83	0.92	-0.87
Vigun05g092600	-2.87	0.03	2.86	-1.19	-1.28	-0.98
Vigun03g373601	-0.07	-0.24	2.85	0.38	0.66	-1.09
Vigun02g188800	0.65	7.01	2.84	2.59	6.32	1.65
VigunL086501	-4.94	-4.39	2.84	-0.89	-0.98	0.49
Vigun08g157450	-2.03	-0.18	2.83	-0.60	0.72	1.72
Vigun11g169700	-0.79	0.46	2.83	-1.33	-0.69	0.46
Vigun07g005200	-0.07	3.04	2.82	0.12	0.03	1.47
Vigun03g348200	-0.07	0.48	2.81	3.19	3.39	0.69
Vigun04g027400	1.92	3.78	2.80	4.61	7.10	0.97
Vigun11g058750	-1.55	0.63	2.80	-0.66	0.40	1.30
Vigun10g151300	-1.52	-1.69	2.79	-1.87	-2.68	-0.26
Vigun05g217600	-2.50	-0.90	2.78	4.14	6.48	1.31
Vigun11g183000	-0.79	1.43	2.78	0.50	-1.84	-1.91
Vigun09g018600	-1.33	0.35	2.76	2.08	4.23	1.29
Vigun05g044400	-0.07	-0.96	2.75	-0.93	0.54	1.04
Vigun01g105100	2.01	3.51	2.75	6.39	8.00	0.93
Vigun07g055400	-1.78	0.53	2.74	4.42	6.13	0.10
Vigun06g043750	-3.11	-1.85	2.74	0.89	1.30	-0.28
Vigun05g081300	-0.07	3.80	2.74	-3.44	-1.53	1.68
Vigun05g029500	0.92	1.23	2.74	6.56	7.27	0.38
VigunL067601	-1.78	0.79	2.72	-0.07	1.10	1.03
Vigun11g072700	-0.80	0.34	2.68	-1.47	-0.84	1.05
Vigun02g158300	1.37	2.79	2.68	5.64	7.62	0.15
Vigun10g140650	-0.07	-0.24	2.67	-1.18	-1.94	-0.94
Vigun05g109700	-2.32	-2.49	2.66	-0.60	-0.69	-0.26
Vigun03g175900	-1.68	3.42	2.66	0.59	3.25	1.99
Vigun08g121000	-0.07	0.48	2.66	3.35	4.64	0.75
Vigun03g401100	-1.37	-0.55	2.66	2.54	2.43	-0.31
Vigun10g116900	-0.53	1.05	2.65	5.70	6.47	-0.11
Vigun04g029100	-0.07	2.57	2.64	-0.60	0.16	-0.26
Vigun10g115050	-2.12	0.17	2.64	-2.23	-2.32	0.44
Vigun01g059066	-2.07	0.22	2.64	1.33	1.22	0.16
Vigun03g400500	-0.07	3.36	2.63	2.36	2.31	1.50
Vigun01g130950	-0.07	1.48	2.61	-1.63	-0.42	0.49
Vigun10g183100	0.00	2.55	2.61	0.00	-0.69	-0.26
Vigun08g021900	2.45	5.66	2.60	2.46	5.56	1.05
Vigun06g228300	-0.07	2.55	2.60	-1.00	-1.87	-1.05
Vigun11g097000	-2.77	0.34	2.60	-3.84	-3.21	0.46
Vigun04g109200	-2.09	0.76	2.59	0.80	0.09	-0.42
Vigun08g166800	-0.07	2.19	2.59	3.49	3.22	0.60
VigunL048080	-0.79	1.10	2.59	-0.67	1.17	1.86
Vigun03g094800	1.77	2.07	2.57	2.71	4.60	-0.12
Vigun03g166200	0.43	6.62	2.57	1.62	2.81	0.92
Vigun07g144400	-0.07	1.18	2.56	-0.99	-3.07	0.27
