taxa	flg22	elf18	nlp20	og	chitin
AT5G54610	-0.48	0.99	1.31	2.60	1.47
AT5G03350	-0.42	1.77	0.62	2.65	1.06
AT5G40990	2.84	2.12	5.87	1.67	1.02
AT1G75830	1.13	0.33	4.00	0.53	0.54
AT2G14560	-0.29	1.75	2.37	2.58	1.33
AT1G79400	0.95	2.05	3.68	2.88	2.43
AT1G21250	-0.09	0.74	2.02	2.17	2.43
AT1G21240	1.42	1.73	3.79	2.44	2.25
AT3G57240	0.84	2.13	1.56	2.26	3.05
AT3G28270	-0.84	0.19	0.54	1.30	0.98
AT2G32530	-0.27	1.91	0.02	1.80	1.22
AT3G21500	0.12	0.68	0.87	2.17	0.25
AT1G66700	4.24	2.85	6.26	3.03	3.81
AT4G35200	-1.09	0.40	0.71	-0.25	0.86
AT2G43580	2.33	1.47	4.27	1.95	1.20
AT5G42530	-0.19	1.05	1.47	1.74	1.69
AT5G18710	-0.70	0.57	0.79	0.42	1.23
AT5G66816	-0.44	0.42	1.42	0.10	0.72
AT2G23170	0.01	1.56	0.96	1.85	0.19
AT1G76790	-0.37	0.27	1.43	0.27	0.05
AT1G12630	-0.33	0.54	1.47	0.13	0.33
AT1G31580	-0.26	0.44	0.81	1.18	1.50
AT3G22560	-1.04	0.07	0.72	-0.29	-0.10
AT4G27654	2.32	2.20	1.29	4.08	1.33
AT1G33102	-0.54	0.48	0.71	1.19	0.38
AT5G10760	0.42	1.79	0.59	1.29	2.15
AT2G29410	1.62	0.58	3.34	0.83	0.42
AT1G76640	1.11	0.69	0.94	2.81	0.43
AT1G49640	-0.57	0.86	0.91	1.12	1.03
AT2G14610	-0.19	1.78	1.47	0.87	0.62
AT1G02470	-0.09	0.46	0.59	1.58	0.55
AT2G22590	-0.73	0.60	0.21	0.29	0.92
AT1G21245	1.96	2.20	3.62	1.72	1.63
AT2G30770	4.36	2.49	6.01	2.38	0.73
AT2G07674	-0.36	0.18	0.38	0.38	1.28
AT5G19650	-0.43	0.71	0.49	1.21	0.31
AT1G55230	1.93	1.72	3.56	0.80	1.09
AT5G17030	-0.04	-0.41	0.07	1.31	1.59
AT3G30180	-0.10	1.30	0.76	1.52	0.89
AT5G01900	2.80	3.59	1.80	4.39	0.65
AT3G20810	0.42	1.28	1.57	2.01	1.80
AT1G73120	-0.23	1.36	0.06	1.17	1.36
AT1G48670	-0.79	0.09	-0.10	0.24	0.79
AT5G38700	-0.16	0.48	0.43	1.42	0.16
AT1G66390	-0.24	0.57	0.38	1.34	1.10
AT3G09870	4.18	4.47	5.75	4.37	3.81
AT1G23600	-0.45	0.29	0.50	1.10	0.37
AT1G54940	-0.25	0.04	1.28	0.68	0.37
AT5G47980	-0.26	0.10	0.28	1.28	0.15
AT2G35345	-0.63	0.62	0.55	0.21	0.90
AT3G03650	-0.45	-0.07	0.36	0.45	1.08
AT5G43290	1.15	2.99	0.10	1.38	2.67
AT1G08090	-0.79	-0.47	-0.01	0.72	0.01
AT4G35985	1.42	1.91	0.79	2.92	0.52
AT1G09350	-0.65	-0.51	-0.45	-0.01	0.86
AT4G14400	2.49	2.54	3.40	2.77	3.99
AT4G18450	-0.09	-0.14	0.60	1.05	1.41
AT3G26440	0.70	1.16	2.20	0.91	0.53
AT1G67360	0.08	0.82	1.57	0.36	1.20
AT3G50770	0.82	0.62	1.92	2.30	1.96
AT1G64590	-0.49	0.41	0.99	0.23	-0.14
