taxa	Garcia-Marin peptides
A0A835GBG1	347
A0A835GSB2	261
A0A835GMS5	247
A0A172MAS3	243
A0A835G844	232
A0A835GUZ7	166
A0A835L7X2	135
A0A835L635	121
A0A835GPM4	121
A0A835L1P3	104
A0A835L4N6	90
A0A835GRZ5	89
A0A835L3V5	88
A0A835G695	83
A0A835GLH1	81
Q4G6A5	75
A0A835GRX4	72
A0A835GP90	66
A0A835GF60	62
A0A835G5T4	59
A0A835L5V6	54
A0A835GRV1	53
Q4G6A4	53
A0A835GP60	44
A0A835G5G7	43
A0A835L4X9	40
B3F884	38
A0A835GU18	38
I6T7S5	37
A0A835GGM4	37
A0A835GG43	34
A0A835L5Y2	33
D7RZZ7	32
A0A088MGW5	31
A0A835GJJ6	31
A0A835GDA2	30
A0A2H1V7Z9	29
A0A835GQG9	29
A0A835GCL2	29
A0A835G8S8	29
A0A835GCK8	28
A0A835GNC5	27
A0A835GM65	27
A0A835GAT4	27
A0A0K0Q479	26
A0A835L8T6	26
A0A835GC94	26
I0B5T1	25
A0A835KYW7	25
A0A835GJ98	25
A0A835GJV8	25
Q5UVJ2	25
A0A835L4B5	25
G5CDD8	24
A0A2H1W4N7	23
C9W8G7	23
A0A835GPZ4	23
A0A835G8F5	23
Q4G6A3	23
A0A835G6J5	21
A7L8D1	21
A0A835GQW8	21
A0A835L6G2	21
A0A835GJJ7	20
A0A835L4K0	20
A0A835L9T9	20
A0A835GNN2	19
A0A835GU81	19
A0A835L459	19
A0A2H1VG23	19
A0A835L0I4	19
A0A835G8F9	18
A0A835GEL3	18
A0A835L371	18
A0A2A4K6E9	17
A0A835GKC5	17
A0A835GDX5	17
A0A835L7G3	17
A0A835G1E5	16
A0A835GBT2	16
A0A0M4MZ77	16
A0A076VDI4	16
A0A835G276	16
A0A835GSR7	15
A0A835GDB5	15
A0A835GEQ7	14
A0A835L2S3	14
A0A2H1WDE7	14
A0A835GSD4	13
A0A835GKF7	13
A0A835G556	13
A0A2H1V6Z6	13
A0A835GUF7	12
A0A835L9W5	12
A0A835L504	12
A0A835G1A9	12
A0A835GFR0	12
A0A835G9U0	12
I0B5T0	11
A0A835GEE4	11
A0A835KZ05	11
A0A835G6Y7	11
A0A835L5Y9	11
A0A835L6M0	10
A0A835GMH3	10
A0A835LAD2	10
A0A2H1WNA6	10
A0A835L1P5	10
A0A835L7V6	10
A0A835GJN1	10
A0A835G4G5	9
A0A835G652	9
A0A835L0H0	9
A0A2H1VG89	9
A0A835GCM1	9
A0A835G220	9
A0A835LFA9	9
A0A835GQI2	9
A0A2H1V587	9
A0A835L2E7	8
A0A8E4Q928	8
A0A835G8G6	8
A0A835G8S7	8
A0A835G359	8
A0A835L0F3	8
A0A835L010	8
A0A835GFU1	8
A0A2H1VRH3	8
A0A835GSL3	8
A0A835GFA5	8
A0A2H1W3T9	8
A0A2A4JVT8	8
A0A835L297	7
A0A835L6J5	7
I0B5V9	7
A0A835GF34	7
A0A835LCX1	7
A0A835GKZ7	7
A0A835GKV0	7
A0A835G717	7
A0A835G4J7	7
A0A835G5C7	7
A0A835L959	7
D6BNT9	7
A0A7E5VQT6	7
A0A835G470	7
A0A835GSD2	7
A0A835GF96	7
I0B5X1	6
A0A2H1V0J1	6
A0A835GDW0	6
A0A835GJ86	6
A0A835L6T7	6
A0A2H1WTE2	6
A0A7E5WMC9	6
A0A835GR79	6
A0A835GDN6	6
A0A835GLR7	6
A0A835G658	6
A0A835L8Z3	6
A0A2H1W7S4	6
I0B5W2	5
I0B5T8	5
A0A835L1M2	5
A0A835L3B7	5
A0A835GBI5	5
A0A835GIJ8	5
A0A835G7U5	5
A0A835GEL7	5
A0A835GMR8	5
Q9NH10	5
A0A0X9HJY6	5
E7D017	5
A0A835L310	5
A0A835GCZ0	5
A0A835GBZ2	5
A0A835GK79	5
A0A835L6D5	5
A0A835L3E7	5
A0A835G691	5
A0A835G8N8	5
A0A2H1VCG8	5
A0A2H1VTD3	5
Q0VIL7	5
A0A2H1W0Z5	5
A0A2W1BQ60	5
A0A2H1VH25	5
A0A835GRI8	5
