taxa	Seed	Root	Stem	Petal	Carpel	Leaf
AT1G30814	0	0	0	0	3.59	0
AT1G78930	9.59	6.23	5.57	4.88	7.46	6.97
AT1G71695	10.97	7.92	8.23	9.6	11.35	11.07
AT1G58983	0	0	0	0	0	0
AT1G12980	1.08	0	0	0	0	0
AT1G45223	0	0	0	1.55	6.88	1.67
AT1G56250	0	5.2	5.34	2.97	3.81	3.77
AT1G66852	0	0	0	0	0	0
AT1G69810	3.92	9.68	4.54	6.02	1.84	4.64
AT1G72450	5.06	9.62	12.1	10.51	11.13	11.46
AT1G76280	9.59	8.46	7.64	8.16	8.34	8.28
AT1G65630	0	0	0	1.97	1.06	0
AT1G71390	0	0.47	0.91	0.55	0	0
AT1G56233	0	0	0.54	0	0	0
AT1G15210	2.07	12.9	5.55	0.55	6.14	2.02
AT1G15250	8.32	8.59	7.72	8	9.15	7.71
AT1G79700	5.56	7.59	8.83	9.11	7.67	8.29
AT1G62895	0	0	0	0	0	0
AT1G73360	5.99	5.04	4.39	6.52	7.07	5.21
AT1G16360	0	3.53	3.83	1.55	1.27	0.9
AT1G10225	0	0	0	0	0	0
AT1G26670	11.43	9.62	10.99	10.38	8.96	11.27
AT1G34855	0	0	0	0	0	0
AT1G52200	0	10.09	2.32	0.58	0.42	9.63
AT1G57800	6.19	0.47	0	0	0	0.52
AT1G69460	10.18	10.88	10.92	11.09	10.24	10.71
AT1G04310	9.07	7.58	7.27	10.43	9.02	7.72
AT1G08080	0	0.47	5.76	0	0	3.46
AT1G75550	0	7.77	8.25	7.25	6.45	2.83
AT1G71890	2.07	1.9	3.24	0	10.13	0.52
AT1G05430	8.81	8.59	9.21	9.43	8.94	9.17
AT1G80870	6.15	9.05	10.54	7.86	9.61	8.64
AT1G75310	9.5	10.09	9.98	10.71	10.38	9.25
AT1G02010	6.74	7.72	8.1	7.79	6.75	8.4
AT1G47900	8.27	10.39	10.19	9.36	9.81	8.38
AT1G14315	0	0.47	0	0	0	0
AT1G26760	0	7.59	6.28	3.2	8.61	3.34
AT1G05250	0	0.47	0	0	0	0
AT1G67260	0	0	4.3	1.3	1.12	5.52
AT1G24575	4.7	8.59	8.94	9.92	6.33	9.44
AT1G12790	6.69	6.04	7.06	6.59	5.88	7.26
AT1G04850	11.37	11.62	11.41	11.69	11.16	10.88
AT1G31760	7.42	7.42	6.23	4.82	8.53	5.31
AT1G33250	10.74	9.32	8.66	9.37	8.97	8.84
AT1G74000	4.69	6.47	1.68	4.08	4.94	1.45
AT1G55580	2.07	7.12	0.54	0.97	4.17	0
AT1G53903	0	0	0	0	0	0
AT1G19715	7.22	9.14	9.76	8.19	9.48	11.14
AT1G69430	7.61	5.08	6.3	6.03	5.71	4.89
AT1G53340	0	7.01	2.93	0.99	2.61	3.86
AT1G29890	4.24	9.68	11.01	9.2	9.16	7.75
AT1G80290	5.76	8.48	7.51	8.24	7.88	8.27
AT1G56540	1.08	6.33	7.81	2.13	4.31	6.95
AT1G48650	10.62	9.78	9.32	9.22	10.13	10.1
AT1G22670	1.62	1.9	0.93	2.44	1.42	0
AT1G07030	11.2	9.16	8.19	8.4	8.97	8.88
AT1G69860	0	0.47	0.93	0	3.75	0
AT1G10120	6.51	9.81	9.49	9.86	9.23	8.1
AT1G43650	9.56	9.56	3.65	2.42	2.55	7.19
AT1G09960	7.27	8.64	8.73	7.66	8.11	8.09
AT1G51990	0	0	0	0	0	0.52
AT1G53625	0	8.19	4.54	0	0	2.73
AT1G63360	2.67	1.12	7.26	5.28	7.32	10.14
AT1G33330	6.53	7.1	7.51	8.09	7.3	8.6
AT1G74929	0	0	0	0	0	0
AT1G63430	6.53	10.05	10.39	9.95	9.93	9.86
AT1G80720	6.44	8.04	7.27	6.58	7.86	6.03
AT1G69770	2.9	9.81	9.4	7.48	10.82	6.69
AT1G08460	10.61	8.47	9.12	8.66	8.69	10.36
AT1G78710	0	1.36	0	1.55	6.66	0
AT1G08610	8.25	7.02	6.96	5.6	8.21	7.33
AT1G17540	4.91	2.29	1.23	3.82	3.56	2.53
AT1G27380	3.92	7.2	10.41	3.79	3.66	3.62
AT1G58643	0	0	0	0	0	0
AT1G48953	0	0	0	0	0	0
AT1G51440	1.66	6.63	6.6	10.94	7.83	7.72
AT1G18871	0	0.47	0	0	0	0
AT1G25210	0	0	0	0	0	0
AT1G21610	10.86	9.26	9.35	9.56	9.36	10.36
AT1G79710	5.71	8.73	7.24	6.17	7.1	7.59
AT1G80840	5.38	9.12	11.67	9.73	8.33	9.69
AT1G71300	1.62	0.83	2.31	0.55	1.5	0
AT1G49490	4.48	7.22	6.3	7.89	7.56	7.06
AT1G23645	1.03	0	0	0	0	0
AT1G09795	11.84	7.97	10.35	11.12	10.73	11.22
AT1G48690	0	7.43	3.42	0	0.42	0.52
AT1G49570	0	11.42	0	0	0.5	0
AT1G68470	6.77	7.71	6.84	0	6.71	6.19
AT1G75580	6.58	6.21	4.74	5.76	9.54	4.06
AT1G26400	12.22	0.47	0.91	0	0	0
AT1G72980	3.05	0	0	0	0.42	2.02
AT1G59970	4.64	8.62	8.33	7.49	8.2	6.99
AT1G11520	8.56	5.93	5.47	5.61	6	6.16
AT1G30640	9.88	8.9	9.23	8.74	6.73	8.84
AT1G26440	9.78	9.87	9.08	7.4	7.4	10.37
AT1G51320	0	0	0	0	0	0
AT1G22070	9.74	9.78	9.71	9.1	8.57	10.98
AT1G26700	0	8.21	0	0	0.81	0
AT1G73603	0	0	0.52	0	5.44	0
AT1G55650	0	0.47	0.54	0	1	0
AT1G78180	7.51	6.89	7.27	7.32	7.99	7.81
AT1G55928	0	0	0	0	0	0
AT1G29880	10.16	10.81	10.65	10.47	11.32	10.71
AT1G53645	9.96	10.37	9.25	9.43	10.72	8.61
AT1G06240	6.32	7.27	7.15	7.51	7.97	8.13
AT1G72330	10.87	7.71	7.75	9.42	9.13	9.15
AT1G20840	8.02	11.16	10.72	11.16	9.66	10.79
AT1G45050	7.42	8.2	7.96	8.35	7.76	8.92
AT1G52500	8.33	8.65	8.49	8.09	9.56	8.47
AT1G10430	8.64	9.61	9.37	9.56	9.08	9.25
AT1G05670	8.82	7.84	7.16	7.81	7.99	7.92
AT1G64110	14.48	4.99	3.09	3.12	1.06	10.15
AT1G65220	11.46	11.03	10.67	10.82	10.44	10.77
AT1G13635	1.08	7.65	10.6	3.86	1.22	4.2
AT1G54950	0	6.64	0.93	0	0	0.9
AT1G55730	10.24	9.59	8.95	9.21	7.93	8.79
AT1G07310	12.65	9.25	9.83	10.06	9.54	9.82
AT1G77230	8.08	7.48	6.92	6.75	7.3	7.21
AT1G52400	4.99	3.71	12.99	13.49	16.94	15.44
AT1G16430	8.53	7.5	7.26	7.57	8.05	6.97
AT1G27752	10.35	9.59	9.38	9.43	9.12	9.96
AT1G14880	1.08	1.74	4.54	0	0	10.32
AT1G11190	3.13	8.02	5.39	10.12	8.25	3.67
AT1G43100	0	0	0	0	0	0
AT1G26650	8.06	9.06	9.45	10.15	8.87	8.97
AT1G54420	0	0	0	0	0	0
AT1G34640	6.72	5.02	6.5	9.14	7.94	7.06
AT1G50310	5.77	3.83	3.89	2.27	1.74	3.4
AT1G49430	2.04	9.29	10.37	13	11.02	7.03
AT1G74240	8.85	7.03	6.65	7.44	7.75	6.17
AT1G01760	3.79	6.47	6.35	4.83	5.93	6.37
AT1G61160	0	0	0	0	0	0
AT1G47480	1.7	9.22	5.99	0.97	3.84	5.53
AT1G65820	12.79	10.18	10.16	10.66	9.64	11.49
AT1G22900	0	1.56	0.52	0	3.56	5.18
AT1G76820	7.24	6.15	5.61	5.94	6.48	8.46
AT1G52080	9.23	8.21	6.12	9.29	7.01	7.69
AT1G35180	0	3.83	6.19	11.29	8.71	3.28
AT1G30070	12.87	8.38	8.23	8.76	8.98	7.77
AT1G35210	2.04	7.53	7.41	3.76	6.45	7.01
AT1G10410	9.8	10.23	10.99	10.8	10.1	10.1
AT1G73740	6.04	7.14	8.59	9.22	7.95	8.51
AT1G53350	1.7	7.73	8.08	7.09	7.65	8.58
AT1G34110	10.14	9.71	8.06	9.05	8.83	9.9
AT1G17240	3.8	5.8	3.36	1.98	3.65	5.66
AT1G61730	10.47	10.6	9.67	9.55	10.28	9.69
AT1G29260	10.62	8.43	8.69	9.08	8.71	9.24
AT1G33890	0	5.89	0	0	0	0
AT1G08040	10.61	9.15	10.01	9.95	9.63	9.43
AT1G63522	0	1.74	0.54	0	4.08	0.9
AT1G08810	2.07	3.37	5.96	1.97	5.81	7.22
AT1G09210	7.56	12.86	11.75	11.98	12.42	10.61
AT1G70080	5.82	4.97	2.56	0	1.55	0
AT1G10522	7.64	6.54	7.15	6.78	9.16	8.14
AT1G04570	6.95	5.6	6.54	6.71	6.87	6.41
AT1G01830	5.5	8.78	9.32	11.18	8.92	9.87
AT1G12340	1.66	0	1.23	0	2.61	0.9
AT1G67590	3.59	9.32	6.53	11.31	10.25	8.55
AT1G69080	0	6.92	11.12	5.46	6.41	6.1
AT1G31400	1.08	0	1.47	0.99	0.74	0
AT1G74385	0	0	0	0	0	0
AT1G73300	1.08	7.39	0	1.3	0	0.52
AT1G05760	0	0	0	0	0	0
AT1G30530	8.27	6.87	10.25	8.33	11.58	9.2
AT1G12480	5.34	1.36	4.72	0.97	2.03	6.57
AT1G76850	11.28	10.86	11.28	11.46	10.69	11.09
AT1G73570	1.08	7.12	7.92	7.45	7.82	7.1
AT1G44130	0	3.53	0.93	0	7.55	0.52
