taxa	marker
Vigun08g028600	Extensin
Vigun04g008900	PolKetSyn TPJ
Vigun03g379700	DXPSyn TPJ
Vigun02g197900	TrpSyn TPJ
Vigun07g008700	VuERF TPJ
Vigun03g221900	Lipid transfer TPJ
Vigun04g172800	DUF247 TPJ
Vigun05g093500	SEC14 TPJ
Phvul.007G193400.1	ERF unpub.
Phvul.001G071200.1	IRAK unpub
Phvul.001G215100.1	MYB unpub
Phvul.001G155400.1	calmodulin unpub
Phvul.002G014700.1	P450 unpub
Phvul.002G039100.1	chalcone synthase unpub
Phvul.007G071400.1	hypothetical marker unpub.
Phvul.007G101400.1	flg22-only?
Phvul.002G320600.1	flg22-only?
Glyma.01G228700.1	soy marker
Glyma.03G045176.1	soy marker
Glyma.07G202300.1	soy marker
Glyma.09G163700.1	soy marker
Glyma.11G003500.1	soy marker
Glyma.11G051800.1	soy marker
Glyma.13G093932.2	soy marker
Glyma.17G066500.1	soy marker
