taxa	2.5wk_aerial	4.5wk_aerial
AT1G01010	6.16	6.70
AT1G01020	8.40	8.26
AT1G01030	6.48	5.32
AT1G01040	9.19	9.47
AT1G01050	9.58	9.87
AT1G01060	12.15	12.63
AT1G01070	6.26	7.12
AT1G01080	10.01	9.38
AT1G01090	11.20	10.35
AT1G01100	11.80	10.67
AT1G01110	5.76	5.31
AT1G01120	9.91	10.49
AT1G01140	9.32	11.56
AT1G01160	8.67	8.65
AT1G01170	8.82	9.16
AT1G01180	6.86	7.90
AT1G01190	6.04	5.14
AT1G01200	5.69	5.31
AT1G01210	8.24	8.17
AT1G01220	8.34	8.30
AT1G01225	5.81	5.01
AT1G01230	7.24	8.08
AT1G01240	6.55	8.17
AT1G01250	6.79	6.81
AT1G01260	7.32	7.17
AT1G01290	7.63	7.76
AT1G01300	8.77	7.93
AT1G01320	12.79	12.35
AT1G01340	6.45	7.93
AT1G01350	7.67	8.00
AT1G01360	7.40	8.59
AT1G01370	6.75	5.67
AT1G01380	5.62	4.97
AT1G01390	7.37	7.52
AT1G01420	7.43	7.62
AT1G01430	9.08	9.01
AT1G01440	7.20	7.63
AT1G01448	6.85	6.67
AT1G01470	8.27	10.22
AT1G01480	4.28	5.31
AT1G01490	10.81	11.44
AT1G01500	7.37	7.25
AT1G01510	8.49	8.19
AT1G01520	7.98	8.27
AT1G01540	9.93	9.83
AT1G01550	9.75	10.66
AT1G01560	5.01	8.30
AT1G01570	5.01	4.85
AT1G01580	5.82	5.48
AT1G01600	6.92	4.81
AT1G01610	9.77	9.48
AT1G01620	11.98	10.80
AT1G01630	9.47	9.72
AT1G01640	4.94	5.33
AT1G01650	8.42	8.96
AT1G01660	5.38	5.76
AT1G01670	5.56	6.25
AT1G01680	4.85	8.58
AT1G01690	6.40	5.72
AT1G01695	4.93	4.54
AT1G01700	5.61	5.57
AT1G01710	8.96	9.04
AT1G01720	8.36	9.18
AT1G01725	6.27	7.51
AT1G01730	7.04	7.83
AT1G01740	6.79	6.76
AT1G01750	5.25	4.85
AT1G01760	5.85	5.21
AT1G01770	7.16	7.39
AT1G01780	6.99	6.38
AT1G01790	11.32	10.72
AT1G01800	9.13	9.61
AT1G01810	4.77	4.61
AT1G01820	8.42	8.96
AT1G01830	7.47	8.53
AT1G01840	6.21	5.75
AT1G01860	7.82	7.30
AT1G01880	5.92	4.70
AT1G01900	6.92	5.30
AT1G01910	8.83	8.71
AT1G01920	7.53	7.07
AT1G01930	7.41	7.39
AT1G01940	7.21	6.62
AT1G01950	8.31	8.30
AT1G01960	8.91	8.82
AT1G01970	9.07	8.27
AT1G01990	7.53	7.43
AT1G02000	7.04	7.05
AT1G02010	8.42	8.34
AT1G02020	7.70	7.42
AT1G02050	6.23	5.95
AT1G02060	5.81	5.62
AT1G02065	5.65	3.93
AT1G02080	9.80	9.55
AT1G02090	9.15	8.99
AT1G02100	8.64	8.81
AT1G02110	8.72	7.65
AT1G02120	10.36	10.70
AT1G02130	8.66	8.58
AT1G02140	10.06	10.05
AT1G02145	8.08	7.98
AT1G02150	10.22	9.09
AT1G02160	8.08	8.44
AT1G02170	7.97	8.97
AT1G02180	6.33	5.78
AT1G02190	5.04	4.94
AT1G02205	10.05	8.39
AT1G02220	6.33	8.25
AT1G02230	4.63	6.15
AT1G02260	7.28	7.77
AT1G02270	7.60	8.93
AT1G02280	10.19	8.81
AT1G02290	6.31	6.10
AT1G02300	7.48	7.97
AT1G02305	8.65	9.55
AT1G02330	8.09	7.82
AT1G02335	6.63	5.30
AT1G02340	4.74	5.05
AT1G02350	5.23	5.64
AT1G02360	5.28	7.23
AT1G02370	6.20	5.65
AT1G02380	6.17	6.58
AT1G02390	5.76	6.73
AT1G02400	5.38	6.29
AT1G02410	7.83	8.41
AT1G02420	5.65	5.73
AT1G02430	5.16	5.47
AT1G02450	4.64	8.12
AT1G02460	5.69	5.24
AT1G02470	5.21	6.09
AT1G02475	8.77	9.82
AT1G02500	11.36	11.13
AT1G02560	11.53	11.04
AT1G02580	3.93	4.86
AT1G02610	5.11	6.25
AT1G02640	6.80	5.71
AT1G02650	5.08	4.75
AT1G02660	5.25	6.38
AT1G02670	5.67	4.81
AT1G02680	7.53	7.97
AT1G02690	7.45	5.48
AT1G02700	5.49	5.53
AT1G02720	6.93	6.69
AT1G02730	8.82	5.97
AT1G02740	7.00	7.18
AT1G02750	7.73	8.58
AT1G02770	4.63	4.71
AT1G02780	13.51	12.56
AT1G02800	6.57	4.41
AT1G02816	7.42	7.89
AT1G02820	10.63	11.09
AT1G02840	10.86	10.08
AT1G02850	5.52	6.64
AT1G02860	6.41	7.02
AT1G02870	7.82	7.18
AT1G02880	7.97	8.73
AT1G02890	9.33	9.63
AT1G02900	5.09	4.71
AT1G02910	9.85	9.48
AT1G02920	6.83	11.10
AT1G02930	7.57	11.30
AT1G02950	6.34	5.20
AT1G02960	7.80	7.96
AT1G02970	6.42	4.91
AT1G02990	7.34	7.63
AT1G03000	8.14	7.93
AT1G03030	7.78	8.39
AT1G03040	8.99	8.93
AT1G03055	7.87	7.69
AT1G03060	8.51	8.47
AT1G03080	8.90	8.81
AT1G03090	7.52	7.87
AT1G03100	5.42	5.14
AT1G03110	8.18	6.71
AT1G03120	5.22	4.46
AT1G03130	13.26	13.35
AT1G03140	8.58	8.67
AT1G03150	7.44	7.71
AT1G03160	9.18	8.78
AT1G03180	6.24	5.50
AT1G03190	7.30	6.80
AT1G03200	4.44	5.20
AT1G03210	7.04	8.21
AT1G03220	8.02	7.54
AT1G03230	6.84	6.70
AT1G03250	8.50	8.54
AT1G03260	6.97	6.77
AT1G03270	6.64	5.61
AT1G03280	8.86	9.23
AT1G03290	7.21	9.72
AT1G03300	6.50	6.07
AT1G03310	8.56	8.41
AT1G03330	8.50	8.72
AT1G03340	5.44	6.16
AT1G03350	8.36	8.45
AT1G03360	8.16	7.02
AT1G03365	7.56	7.34
AT1G03370	7.55	8.88
AT1G03380	8.47	9.18
AT1G03400	7.72	9.50
AT1G03410	7.26	7.34
AT1G03420	8.79	8.75
AT1G03430	7.38	8.94
AT1G03440	7.90	8.12
AT1G03457	7.24	5.88
AT1G03470	6.80	5.32
AT1G03475	11.01	10.17
AT1G03495	7.24	6.77
AT1G03510	5.05	4.76
AT1G03520	6.97	7.31
AT1G03530	8.34	7.31
AT1G03540	5.23	4.61
AT1G03545	4.86	4.85
AT1G03550	6.32	7.40
AT1G03560	7.13	6.86
AT1G03590	8.01	7.72
AT1G03600	12.09	11.74
AT1G03610	8.58	8.99
AT1G03620	4.84	4.83
AT1G03630	11.14	10.03
AT1G03650	5.48	5.35
AT1G03680	11.29	11.31
AT1G03687	7.53	6.68
AT1G03730	5.71	7.10
AT1G03740	6.78	7.91
AT1G03750	6.14	6.49
AT1G03760	6.21	6.13
AT1G03770	6.05	5.38
AT1G03780	7.53	5.05
AT1G03820	6.14	6.51
AT1G03830	6.71	5.35
AT1G03840	4.89	4.37
AT1G03850	5.63	8.41
AT1G03860	8.86	8.83
AT1G03870	10.25	9.82
AT1G03900	9.32	10.01
AT1G03905	5.89	5.48
AT1G03910	8.82	8.43
AT1G03920	5.56	4.40
AT1G03930	9.32	9.76
AT1G03940	7.18	6.22
AT1G03950	6.88	7.94
AT1G03960	7.03	7.01
AT1G03970	6.79	7.99
AT1G03980	5.42	6.23
AT1G03990	5.69	5.86
AT1G04000	7.23	7.66
AT1G04010	7.15	7.11
AT1G04020	7.66	5.78
AT1G04030	7.05	7.59
AT1G04040	9.43	10.04
AT1G04050	6.28	5.93
AT1G04070	6.57	6.12
AT1G04080	10.33	9.65
AT1G04090	4.84	4.62
AT1G04100	6.08	6.38
AT1G04110	6.55	4.55
AT1G04120	9.48	9.20
AT1G04130	7.89	7.93
AT1G04140	9.23	9.41
AT1G04160	6.95	5.83
AT1G04170	10.03	9.21
AT1G04190	8.46	8.23
AT1G04200	7.88	8.36
AT1G04210	9.10	8.57
AT1G04220	7.63	8.20
AT1G04230	6.93	7.23
AT1G04240	9.78	10.05
AT1G04250	9.94	9.55
AT1G04260	7.04	7.23
AT1G04270	12.09	11.13
AT1G04280	7.11	8.21
AT1G04290	8.49	8.71
AT1G04295	5.53	5.81
AT1G04300	9.40	9.41
AT1G04310	6.31	5.74
AT1G04340	7.44	7.44
AT1G04350	9.70	10.25
AT1G04360	5.74	5.18
AT1G04390	6.92	6.83
AT1G04400	8.38	9.01
AT1G04410	11.87	12.29
AT1G04420	10.47	9.56
AT1G04425	6.16	4.54
AT1G04430	9.81	9.59
AT1G04440	8.28	9.01
AT1G04480	11.34	10.52
AT1G04490	4.67	5.72
AT1G04510	8.88	8.55
AT1G04520	8.70	7.83
AT1G04530	10.82	11.41
AT1G04540	5.48	6.55
AT1G04550	9.23	9.64
AT1G04555	5.91	6.97
AT1G04570	5.53	5.79
AT1G04590	8.36	7.70
AT1G04600	4.61	7.39
AT1G04620	7.97	7.32
AT1G04625	4.70	4.42
AT1G04630	8.44	8.05
AT1G04635	5.88	5.18
AT1G04640	8.85	9.14
AT1G04650	5.93	5.55
AT1G04660	5.36	4.26
AT1G04680	9.76	9.35
AT1G04690	9.14	9.51
AT1G04700	5.45	4.87
AT1G04710	8.66	8.26
AT1G04730	7.23	5.71
AT1G04750	8.91	9.49
AT1G04760	5.11	4.32
AT1G04770	7.85	9.45
AT1G04780	7.72	8.15
AT1G04790	7.83	7.80
AT1G04800	10.68	7.77
AT1G04810	8.49	8.39
AT1G04820	11.19	9.87
AT1G04830	7.71	8.04
AT1G04850	9.78	9.96
AT1G04860	8.30	8.47
AT1G04870	8.64	8.02
AT1G04900	6.45	5.95
AT1G04910	7.84	8.38
AT1G04920	6.25	5.42
AT1G04930	5.99	5.72
AT1G04940	9.26	8.41
AT1G04945	7.88	7.28
AT1G04950	7.86	7.61
AT1G04960	7.88	8.55
AT1G04970	7.57	8.22
AT1G04980	7.24	8.52
AT1G04985	8.62	9.08
AT1G04990	6.44	7.74
AT1G05000	5.56	6.07
AT1G05010	10.56	10.83
AT1G05020	4.62	4.75
AT1G05030	7.56	7.68
AT1G05055	7.35	6.95
AT1G05060	6.63	7.33
AT1G05070	8.23	8.58
AT1G05090	3.93	5.32
AT1G05100	5.27	5.14
AT1G05120	7.54	7.60
AT1G05135	8.69	8.96
AT1G05140	9.04	9.12
AT1G05150	8.53	8.01
AT1G05160	7.42	7.59
AT1G05170	8.89	9.83
AT1G05180	8.09	8.45
AT1G05190	12.61	11.66
AT1G05200	9.23	9.28
AT1G05205	7.44	7.28
AT1G05210	6.09	5.11
AT1G05230	8.78	8.20
AT1G05260	5.28	4.59
AT1G05270	8.75	8.67
AT1G05300	5.45	5.25
AT1G05310	5.86	5.16
AT1G05320	7.67	7.92
AT1G05340	5.16	6.93
