taxa	H15	In15	Flg15	H30	In30	Flg30	H60	In60	Flg60	H120	In120	Flg120
Glyma.11G003500	7.05	6.55	6.19	10.30	10.31	10.20	8.10	10.17	9.05	4.19	9.27	5.17
Glyma.01G000322	4.46	4.44	4.32	4.27	4.61	5.03	5.00	4.89	4.55	3.21	3.55	3.49
Glyma.01G000400	7.42	7.39	7.55	7.01	6.73	7.04	7.36	6.64	6.66	7.85	7.67	7.55
Glyma.01G000600	8.30	7.99	8.20	7.62	7.36	7.98	7.24	6.87	7.01	7.81	7.75	7.63
Glyma.01G000750	-3.32	-3.32	-3.32	-3.32	-3.32	-0.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32
Glyma.01G000900	8.72	8.31	8.31	8.18	8.46	8.54	7.88	8.03	7.89	7.84	7.95	8.08
Glyma.01G001000	8.81	8.45	8.58	8.45	8.67	8.65	8.82	8.85	8.79	8.74	8.78	8.95
Glyma.01G001100	9.39	9.19	9.33	9.70	9.63	9.76	9.91	9.68	9.66	9.09	8.89	8.69
Glyma.01G001200	4.21	4.34	3.83	5.91	6.12	6.12	5.68	5.97	6.29	4.95	5.26	5.09
Glyma.01G001300	11.02	10.64	10.81	10.91	10.77	11.11	10.87	10.32	10.63	10.66	10.02	10.14
Glyma.01G001325	4.19	3.78	3.55	3.49	3.88	4.17	4.07	4.00	3.88	4.38	4.58	4.39
Glyma.01G001350	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32
Glyma.01G001500	-3.32	-3.32	-3.32	-3.32	-3.32	-0.80	-0.80	-1.62	-3.32	-3.32	-3.32	-3.32
Glyma.01G001600	7.22	7.02	6.99	5.89	6.61	6.52	6.29	6.48	6.29	8.06	8.76	8.39
Glyma.01G001700	6.98	6.76	6.87	6.37	6.20	6.62	5.62	5.70	5.69	7.04	6.91	6.85
Glyma.01G001800	1.02	1.00	0.38	2.10	2.32	2.46	1.60	2.76	2.09	-0.32	2.09	0.41
Glyma.01G001900	-3.32	-1.62	-3.32	-0.86	-0.28	-0.80	-3.32	-1.62	-1.62	-3.32	-3.32	-3.32
Glyma.01G002000	9.59	9.70	10.22	8.03	8.17	9.01	7.41	5.43	7.36	6.21	4.19	5.64
Glyma.01G002100	6.57	6.14	6.49	6.06	5.13	6.47	4.83	4.25	4.25	6.81	5.92	6.45
Glyma.01G002200	6.41	6.25	6.16	6.41	5.81	6.22	6.04	5.52	5.44	6.37	5.94	5.88
Glyma.01G002300	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32
Glyma.01G002400	5.22	5.09	4.82	5.17	5.64	5.24	5.53	6.01	5.30	5.75	5.45	5.01
Glyma.01G002501	-0.80	-3.32	-0.32	-3.32	-3.32	-3.32	-3.32	-3.32	-0.32	-3.32	-3.32	-3.32
Glyma.01G002600	7.89	7.52	7.49	7.39	7.18	7.35	7.24	6.34	6.89	6.85	6.38	6.66
Glyma.01G002700	8.38	8.37	8.44	8.21	8.02	8.43	7.51	7.07	7.26	7.04	6.34	6.63
Glyma.01G002800	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	0.41	-3.32	-3.32	-3.32	-3.32	-3.32
Glyma.01G002902	6.24	6.50	6.48	5.09	4.93	5.82	4.55	3.00	3.36	6.37	3.61	4.77
Glyma.01G003000	7.17	7.48	7.61	7.30	5.95	6.99	6.00	4.21	5.08	6.73	3.43	4.36
Glyma.01G003100	5.95	5.67	5.78	5.67	5.55	6.09	5.43	4.63	5.20	5.97	6.26	6.15
Glyma.01G003200	2.81	2.00	2.25	1.02	1.60	2.01	1.00	-0.86	-0.86	0.35	-0.80	0.63
Glyma.01G003300	-3.32	-3.32	-1.62	-3.32	0.35	-0.80	-3.32	-3.32	-3.32	-3.32	-3.32	-1.62
Glyma.01G003400	6.35	6.75	7.16	4.54	4.02	5.31	3.49	3.75	3.49	4.71	3.88	4.74
Glyma.01G003450	1.04	-0.80	1.61	-3.32	1.50	1.47	-0.80	-1.62	-0.86	1.04	-0.28	-3.32
Glyma.01G003500	0.38	0.35	-0.80	-0.32	0.63	1.46	-1.62	-1.62	0.83	-3.32	-3.32	-1.62
Glyma.01G003600	7.40	7.30	7.07	6.08	6.96	6.50	7.72	8.30	7.83	9.22	10.10	9.80
Glyma.01G003700	8.50	8.05	8.39	7.49	8.14	7.87	8.39	8.63	8.34	9.88	10.21	10.48
Glyma.01G003800	7.42	7.17	7.13	6.41	6.96	6.88	6.72	6.64	6.50	7.89	8.52	8.29
Glyma.01G003900	-0.80	-3.32	-3.32	-3.32	-1.62	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32	-3.32
Glyma.01G004000	6.25	5.93	5.46	5.17	5.86	6.19	5.04	5.07	4.88	5.15	5.68	5.48
Glyma.01G004100	10.06	9.57	9.48	9.80	9.88	10.13	9.88	10.25	10.08	8.49	8.88	8.65
Glyma.01G004200	11.44	10.65	10.28	10.26	11.38	11.29	11.33	12.85	11.77	12.26	14.05	13.71
Glyma.01G004300	10.84	10.51	10.43	10.04	10.64	10.50	10.40	10.51	10.23	11.33	11.66	11.46
Glyma.01G004401	4.51	4.04	4.38	3.83	4.77	4.97	1.70	2.65	1.32	1.32	2.46	2.33
Glyma.01G004500	10.52	10.03	10.15	10.53	10.38	10.59	10.45	10.39	10.38	10.42	10.45	10.43
Glyma.01G004600	5.97	5.64	5.69	8.42	8.78	8.62	5.34	5.50	6.11	2.17	2.52	1.82
Glyma.01G004700	3.55	3.43	3.88	2.75	3.32	2.95	2.09	2.46	2.46	2.64	2.39	3.13
Glyma.01G004800	4.36	3.43	3.17	3.00	4.29	4.58	3.67	5.20	4.60	4.36	6.55	5.66
Glyma.01G004900	4.09	3.50	3.04	1.82	1.81	2.91	1.02	-1.62	0.58	1.82	-0.80	1.58
Glyma.01G005000	5.61	5.54	5.75	3.78	4.34	4.39	4.48	4.60	3.70	4.17	3.67	4.43
