taxa	Und	W+H2O	W+In11
Phvul.001G000400	10.05	9.69	9.73
Phvul.001G000500	6.57	6.70	5.51
Phvul.001G000600	5.17	5.33	4.50
Phvul.001G000700	9.06	9.03	8.82
Phvul.001G000800	8.19	6.99	8.39
Phvul.001G001000	8.62	8.26	8.35
Phvul.001G001100	9.54	8.73	8.12
Phvul.001G001200	8.25	8.02	7.66
Phvul.001G001300	9.79	12.52	12.56
Phvul.001G001400	10.79	10.81	11.03
Phvul.001G001500	9.90	10.67	10.03
Phvul.001G001600	8.18	8.13	8.27
Phvul.001G001700	7.50	7.80	7.68
Phvul.001G001900	11.79	11.22	12.14
Phvul.001G002000	9.20	8.64	8.36
Phvul.001G002100	13.74	12.90	13.18
Phvul.001G002200	5.84	7.93	10.65
Phvul.001G002300	3.30	3.72	3.60
Phvul.001G002400	7.88	8.21	8.01
Phvul.001G002600	6.76	6.72	6.67
Phvul.001G002700	8.59	8.30	8.01
Phvul.001G002800	6.17	8.06	7.74
Phvul.001G002900	1.02	2.85	2.42
Phvul.001G003000	7.55	7.00	6.71
Phvul.001G003100	8.15	8.08	7.91
Phvul.001G003200	10.19	10.67	10.49
Phvul.001G003300	3.40	5.02	3.54
Phvul.001G003400	6.08	4.49	3.72
Phvul.001G003500	11.32	11.20	11.27
Phvul.001G003600	9.69	9.75	9.61
Phvul.001G003700	5.92	6.37	4.85
Phvul.001G003800	3.63	4.48	4.43
Phvul.001G003900	1.12	1.40	1.62
Phvul.001G004000	12.34	12.54	12.69
Phvul.001G004033	7.94	9.03	9.36
Phvul.001G004100	7.95	7.98	8.40
Phvul.001G004400	3.15	3.21	3.71
Phvul.001G004500	9.05	7.93	8.35
Phvul.001G004600	8.17	8.74	7.50
Phvul.001G004700	10.18	11.14	12.15
Phvul.001G004800	9.47	9.33	9.21
Phvul.001G004900	8.47	10.86	12.37
Phvul.001G005000	9.91	10.43	11.88
Phvul.001G005100	3.25	2.52	2.99
Phvul.001G005200	11.29	12.04	11.27
Phvul.001G005300	4.90	4.90	3.70
Phvul.001G005400	9.20	9.51	10.16
Phvul.001G005500	10.71	10.68	10.28
Phvul.001G005600	8.94	8.98	9.09
Phvul.001G005700	7.72	8.12	7.75
Phvul.001G005800	1.36	4.32	3.22
Phvul.001G005900	10.13	10.07	9.51
Phvul.001G006000	10.09	10.09	10.08
Phvul.001G006100	1.18	0.15	#NUM!
Phvul.001G006300	10.46	11.17	11.74
Phvul.001G006700	5.73	6.40	5.77
Phvul.001G006800	10.35	9.62	9.49
Phvul.001G006900	8.46	8.56	8.75
