taxa	0.5h	1h	3h	5h	8h	24h
Nitab4.5_0000002g0040.1	1.2	0.6	0.4	0.7	0.8	-1.2
Nitab4.5_0000002g0160.1	1.5	0.3	0	-1.6	-2.4	1.2
Nitab4.5_0000003g0070.1	-1.4	-0.5	0.7	-0.6	-1.7	-0.1
Nitab4.5_0000003g0200.1	-2.9	-1.3	-1.1	-0.9	-1.5	-1.9
Nitab4.5_0000004g0140.1	1.5	1.7	0.5	0.4	-1	0.4
Nitab4.5_0000005g0090.1	3.2	2.2	-0.2	-1.6	-0.4	2.4
Nitab4.5_0000006g0090.1	3.2	2.7	1.4	0.2	0.4	0
Nitab4.5_0000006g0100.1	3	2.4	4.3	3.1	4.5	3
Nitab4.5_0000008g0030.1	-1.9	-0.7	-0.6	-1.7	-1.5	-1.7
Nitab4.5_0000008g0180.1	-1.8	-0.5	0	-1.1	-1.4	-1.4
Nitab4.5_0000008g0210.1	-1.2	-0.4	-0.1	-0.9	-1.3	-0.2
Nitab4.5_0000008g0270.1	-2.1	-3.1	-4.3	-1.4	-2.7	-6.9
Nitab4.5_0000008g0640.1	-1.5	-0.7	0.1	0.3	0	-0.7
Nitab4.5_0000008g0670.1	-1.8	-1.4	-0.8	-0.9	-1.4	-2.6
Nitab4.5_0000008g0840.1	-2.6	-0.7	0.4	-0.8	-1.6	0.9
Nitab4.5_0000008g0860.1	1.4	1.1	-1	0	0.4	-0.2
Nitab4.5_0000008g0870.1	1.6	1.2	-0.5	0.4	0.8	0.1
Nitab4.5_0000009g0270.1	1.2	0.2	0.4	0.3	0.9	0.1
Nitab4.5_0000009g0350.1	-2.4	-1.1	0	-0.8	-0.5	0
Nitab4.5_0000009g0500.1	1.7	1.3	0	0	-0.5	0.2
Nitab4.5_0000010g0130.1	1.2	0.4	0.4	0.1	0.5	0.7
Nitab4.5_0000010g0180.1	1.9	0.4	0.5	0.5	1.4	1.9
Nitab4.5_0000010g0210.1	1.2	0.9	0.9	1	1.3	1.2
Nitab4.5_0000013g0470.1	1.8	0.7	1.4	0.4	0.5	-0.2
Nitab4.5_0000014g0440.1	3.3	1.2	0.1	-0.3	0	0.1
Nitab4.5_0000015g0050.1	1.2	0.2	-0.5	-0.7	-0.7	-1.2
Nitab4.5_0000015g0100.1	-3.4	-2.6	-0.6	0.4	-0.4	0.1
Nitab4.5_0000015g0330.1	1.7	1.4	0.1	-0.6	-0.5	1
Nitab4.5_0000015g0370.1	-2.1	-1.3	-1.8	-2.3	-2.8	-2.5
Nitab4.5_0000016g0360.1	-1.2	-0.8	-0.1	-1.2	-1.1	-0.3
Nitab4.5_0000019g0060.1	-1	-0.5	0.1	0.4	0.1	-0.2
Nitab4.5_0000019g0100.1	-1.9	-0.8	-2.3	-2.7	-3.1	-2.8
Nitab4.5_0000020g0330.1	-1.1	-0.6	-0.4	-0.1	-0.2	-0.6
Nitab4.5_0000021g0060.1	1.2	0.1	0.2	-0.3	-0.2	-1
Nitab4.5_0000021g0200.1	-2.9	-0.3	-0.7	-1.1	-1.6	-0.4
Nitab4.5_0000021g0720.1	2.7	0.3	0.3	0.6	0.3	0.7
Nitab4.5_0000021g0930.1	1.7	0.2	0.5	0.1	0.5	0.1
