taxa	nodule	root	21d_leaf
SRP230996			
SRP373618			
SRP028599			
MtrunA17_CPg0492171	6.96	1.07	-6.64
MtrunA17_CPg0492181	7.30	5.10	4.47
MtrunA17_CPg0492191	8.03	6.22	3.88
MtrunA17_CPg0492201	4.17	3.45	6.15
MtrunA17_CPg0492211	-2.32	-6.64	-6.64
MtrunA17_CPg0492221	9.58	3.51	1.93
MtrunA17_CPg0492231	9.22	-6.64	6.28
MtrunA17_CPg0492241	8.64	0.68	7.19
MtrunA17_CPg0492251	5.83	1.72	4.50
MtrunA17_CPg0492261	7.01	-6.64	3.50
MtrunA17_CPg0492271	5.48	2.85	-6.64
MtrunA17_CPg0492281	-6.64	-6.64	-6.64
MtrunA17_CPg0492291	8.56	8.42	7.49
MtrunA17_CPg0492301	4.02	8.93	3.19
MtrunA17_CPg0492311	7.69	12.08	5.79
MtrunA17_CPg0492321	5.95	9.39	6.04
MtrunA17_CPg0492331	16.20	8.90	9.90
MtrunA17_CPg0492341	5.89	-6.64	-1.74
MtrunA17_CPg0492351	5.57	5.49	10.91
MtrunA17_CPg0492352	-6.64	-6.64	-6.64
MtrunA17_CPg0492361	3.80	4.67	5.54
MtrunA17_CPg0492371	12.76	5.87	6.82
MtrunA17_CPg0492372	-6.64	-6.64	-6.64
MtrunA17_CPg0492373	-6.64	-6.64	-6.64
MtrunA17_CPg0492381	8.61	0.68	4.58
MtrunA17_CPg0492391	7.98	1.14	2.17
MtrunA17_CPg0492401	7.01	5.18	3.93
MtrunA17_CPg0492411	-0.51	0.00	-6.64
MtrunA17_CPg0492421	8.04	5.89	9.47
MtrunA17_CPg0492431	10.81	4.74	6.73
MtrunA17_CPg0492441	-3.32	-6.64	-6.64
MtrunA17_CPg0492451	8.80	3.62	6.35
MtrunA17_CPg0492461	10.16	7.18	6.86
MtrunA17_CPg0492471	-6.64	-6.64	-6.64
MtrunA17_CPg0492481	5.82	-6.64	-6.64
MtrunA17_CPg0492491	2.66	-6.64	-6.64
MtrunA17_CPg0492501	4.23	2.17	-6.64
MtrunA17_CPg0492514	-6.64	-6.64	6.07
MtrunA17_CPg0492521	2.70	1.72	-6.64
MtrunA17_CPg0492541	8.63	8.11	3.17
MtrunA17_CPg0492551	10.12	10.35	5.43
MtrunA17_CPg0492561	4.15	-6.64	-6.64
MtrunA17_CPg0492571	-3.32	3.56	-6.64
MtrunA17_CPg0492581	5.97	3.95	1.77
MtrunA17_CPg0492591	5.77	8.72	3.39
MtrunA17_CPg0492601	5.79	10.09	5.43
MtrunA17_CPg0492611	5.87	8.67	3.00
MtrunA17_CPg0492621	7.70	8.68	4.66
MtrunA17_CPg0492631	6.69	6.53	0.00
MtrunA17_CPg0492641	7.36	9.03	8.05
MtrunA17_CPg0492651	8.97	-6.64	6.75
MtrunA17_CPg0492661	-6.64	1.14	-6.64
MtrunA17_CPg0492671	9.31	10.37	7.34
MtrunA17_CPg0492681	-6.64	4.95	5.34
MtrunA17_CPg0492691	3.89	2.14	5.48
MtrunA17_CPg0492701	7.70	7.80	9.15
MtrunA17_CPg0492711	7.43	7.82	8.33
MtrunA17_CPg0492721	7.88	2.35	-6.64
MtrunA17_CPg0492731	7.66	4.13	-6.64
MtrunA17_CPg0492741	8.24	6.93	8.83
MtrunA17_CPg0492751	6.41	4.87	6.04
MtrunA17_CPg0492761	7.78	10.57	9.14
MtrunA17_CPg0492771	6.07	9.55	8.59
MtrunA17_CPg0492781	8.77	9.64	10.51
MtrunA17_CPg0492791	3.88	7.22	7.94
MtrunA17_CPg0492801	5.69	6.49	5.45
MtrunA17_CPg0492811	7.20	6.71	5.68
MtrunA17_CPg0492821	7.81	6.77	7.04
MtrunA17_CPg0492831	5.55	-6.64	-6.64
MtrunA17_CPg0492841	8.32	7.66	7.94
MtrunA17_CPg0492851	9.70	8.40	6.81
MtrunA17_CPg0492861	5.21	4.89	6.46
MtrunA17_CPg0492871	5.64	6.32	7.01
MtrunA17_CPg0492881	9.42	7.89	8.93
MtrunA17_CPg0492891	11.01	7.38	3.63
MtrunA17_CPg0492901	6.89	6.40	4.22
MtrunA17_CPg0492902	-6.64	-6.64	-6.64
MtrunA17_CPg0492911	4.69	-6.64	-6.64
MtrunA17_CPg0492921	10.44	8.50	7.79
MtrunA17_CPg0492931	9.86	4.82	-6.64
MtrunA17_CPg0492941	5.05	5.66	4.53
MtrunA17_CPg0492951	0.26	1.58	-6.64
MtrunA17_CPg0492961	10.34	7.68	6.33
MtrunA17_CPg0492971	9.56	10.50	7.55
MtrunA17_CPg0492981	7.66	6.45	4.36
MtrunA17_CPg0492991	7.07	6.67	7.97
MtrunA17_CPg0493001	8.91	7.65	2.81
MtrunA17_CPg0493011	3.46	-6.64	-1.00
MtrunA17_CPg0493021	8.12	5.21	1.96
MtrunA17_CPg0493031	6.67	-6.64	-1.74
MtrunA17_CPg0493041	8.80	5.38	1.89
MtrunA17_CPg0493051	6.85	-6.64	1.68
MtrunA17_CPg0493061	6.29	3.92	4.98
MtrunA17_CPg0493071	2.32	-6.64	-6.64
MtrunA17_CPg0493081	9.91	4.86	6.60
MtrunA17_CPg0493091	8.64	6.23	7.66
MtrunA17_CPg0493101	10.98	2.29	4.11
MtrunA17_CPg0493111	5.51	-6.64	-6.64
MtrunA17_CPg0493121	-6.64	-6.64	-6.64
MtrunA17_CPg0493131	9.92	7.40	11.38
MtrunA17_CPg0493141	4.63	4.12	8.53
MtrunA17_CPg0493151	0.14	-6.64	-6.64
MtrunA17_CPg0493161	2.29	-1.74	-6.64
MtrunA17_CPg0493171	7.16	1.38	4.98
MtrunA17_CPg0493181	5.89	-0.51	4.82
MtrunA17_CPg0493191	4.04	-1.74	-6.64
MtrunA17_CPg0493201	3.35	-6.64	-6.64
MtrunA17_CPg0493211	8.26	3.42	7.43
MtrunA17_CPg0493221	9.65	5.56	10.50
MtrunA17_CPg0493231	9.41	5.97	10.14
MtrunA17_CPg0493241	3.49	-0.32	5.55
MtrunA17_CPg0493251	-0.51	1.07	-6.64
MtrunA17_CPg0493261	6.73	6.73	4.77
MtrunA17_CPg0493271	-1.00	1.89	-6.64
MtrunA17_CPg0493281	5.68	5.49	3.72
MtrunA17_CPg0493291	8.24	4.49	4.17
MtrunA17_CPg0493301	7.60	1.38	1.93
MtrunA17_CPg0493311	8.30	3.45	2.51
MtrunA17_CPg0493321	-0.51	0.38	-6.64
MtrunA17_CPg0493331	10.62	4.64	2.26
MtrunA17_CPg0493341	7.39	6.52	4.29
MtrunA17_CPg0493351	8.78	5.43	7.09
MtrunA17_CPg0493361	2.91	3.88	5.89
MtrunA17_CPg0493371	11.38	7.38	9.71
MtrunA17_CPg0493381	4.57	-6.64	-6.64
MtrunA17_CPg0493391	7.67	7.18	5.21
MtrunA17_CPg0493401	7.56	6.49	5.54
MtrunA17_CPg0493411	10.30	5.04	9.66
MtrunA17_CPg0493421	10.53	6.61	8.30
MtrunA17_CPg0493431	-6.64	-1.74	-1.74
MtrunA17_CPg0493441	11.13	4.81	11.69
MtrunA17_CPg0493451	3.17	2.23	1.20
MtrunA17_CPg0493461	6.68	-6.64	-6.64
MtrunA17_Chr0c01g0488931	10.11	5.75	5.76
MtrunA17_Chr0c01g0488941	0.14	-6.64	-6.64
MtrunA17_Chr0c01g0488951	1.85	-6.64	-6.64
MtrunA17_Chr0c01g0488961	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0488971	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0488981	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0488991	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489001	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489011	14.69	8.55	11.10
MtrunA17_Chr0c01g0489021	14.73	6.64	7.70
MtrunA17_Chr0c01g0489031	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489041	14.97	11.69	10.94
MtrunA17_Chr0c01g0489051	1.85	-6.64	-1.32
MtrunA17_Chr0c01g0489061	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489071	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489081	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489091	10.11	9.19	8.66
MtrunA17_Chr0c01g0489101	14.74	7.33	12.48
MtrunA17_Chr0c01g0489111	7.56	-6.64	-6.64
MtrunA17_Chr0c01g0489121	12.15	8.06	3.45
MtrunA17_Chr0c01g0489131	0.68	-0.74	-0.51
MtrunA17_Chr0c01g0489141	-3.32	-6.64	-6.64
MtrunA17_Chr0c01g0489151	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489161	3.62	5.84	2.58
MtrunA17_Chr0c01g0489171	0.38	3.38	3.75
MtrunA17_Chr0c01g0489181	2.61	7.95	8.11
MtrunA17_Chr0c01g0489191	2.23	6.71	8.23
MtrunA17_Chr0c01g0489201	-0.32	1.20	3.84
MtrunA17_Chr0c01g0489202	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489211	-6.64	5.72	4.81
MtrunA17_Chr0c01g0489221	-6.64	2.58	-6.64
MtrunA17_Chr0c01g0489231	-3.32	3.49	-1.74
MtrunA17_Chr0c01g0489241	-3.32	1.72	-6.64
MtrunA17_Chr0c01g0489251	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489261	1.72	7.08	7.95
MtrunA17_Chr0c01g0489271	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489281	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489291	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489301	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489311	6.60	6.85	12.83
MtrunA17_Chr0c01g0489321	5.09	8.55	9.93
MtrunA17_Chr0c01g0489331	-2.32	6.16	-6.64
MtrunA17_Chr0c01g0489341	-3.32	-6.64	-6.64
MtrunA17_Chr0c01g0489351	-0.74	-6.64	-6.64
MtrunA17_Chr0c01g0489361	-3.32	-6.64	-6.64
MtrunA17_Chr0c01g0489371	-3.32	-1.74	-6.64
MtrunA17_Chr0c01g0489381	-3.32	-6.64	-6.64
MtrunA17_Chr0c01g0489391	5.09	4.63	5.62
MtrunA17_Chr0c01g0489401	7.09	9.01	9.05
MtrunA17_Chr0c01g0489411	4.12	5.42	-0.51
MtrunA17_Chr0c01g0489421	-2.32	-6.64	-0.51
MtrunA17_Chr0c01g0489431	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489441	-6.64	-0.51	5.06
MtrunA17_Chr0c01g0489451	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489461	1.07	1.00	8.98
MtrunA17_Chr0c01g0489471	7.27	7.45	7.74
MtrunA17_Chr0c01g0489481	5.84	9.37	9.57
MtrunA17_Chr0c01g0489491	3.86	6.86	6.94
MtrunA17_Chr0c01g0489501	-6.64	1.72	2.51
MtrunA17_Chr0c01g0489511	-0.51	8.81	6.93
MtrunA17_Chr0c01g0489521	-6.64	-0.51	-6.64
MtrunA17_Chr0c01g0489531	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489541	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489551	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489561	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489571	-3.32	-6.64	-6.64
MtrunA17_Chr0c01g0489581	-3.32	-6.64	-6.64
MtrunA17_Chr0c01g0489591	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489601	-3.32	1.89	-1.74
MtrunA17_Chr0c01g0489611	-3.32	-6.64	-6.64
MtrunA17_Chr0c01g0489621	-6.64	-6.64	-6.64
MtrunA17_Chr0c01g0489631	-6.64	-6.64	-6.64
