taxa	symbol
AT4G00870	bHLH14
AT4G17880	MYC4
AT5G46760	MYC3
A0A835L2E7	REPAT23
I0B5U6	REPAT26
I0B5V3	REPAT33
B7SWS8	REPAT2
A0A835GAS3	REPAT43
I0B5W6	REPAT46
A0A835G8S7	REPAT-like
A0A835GA76	REPAT45
I0B5T1	REPAT11
A0A8E4Q928	REPAT
I0B5T0	REPAT10
I0B5T1	REPAT11
I0B5T5	REPAT15
I0B5T6	REPAT16
I0B5T8	REPAT18
B7SWS8	REPAT2
I0B5U6	REPAT26
I0B5X1	REPAT32
I0B5V9	REPAT39
A8QVZ5	Repat4
I0B5W2	REPAT42
JACEFF010000482.1_prot_KAH9636721.1_14899	S.exigua REPAT35
JACEFF010000482.1_prot_KAH9636727.1_14893	S.exigua REPAT43
JACEFF010000482.1_prot_KAH9636718.1_14896	S.exigua REPAT38
JACEFF010000482.1_prot_KAH9636724.1_14885	S.exigua REPAT46
JACEFF010000019.1_prot_KAH9645661.1_9176	S.exigua REPAT30
JACEFF010000214.1_prot_KAH9641815.1_17708	S.exigua REPAT33
LOC126055620]	H.armigera-HARP1
LOC110381636]	H.armigera-HAS1
LOC_Os08g42580	OsCERK1
AT1G51940	AtLYK3
LOC_Os01g36550	OsRLK3
AT2G23770	AtLYK4
AT3G01840	AtLYK2
AT2G17120	AtLYM2
LOC_Os03g04110	OsLYP1/CEBIP
Nitab4.5_0000316g0090.1	NtabBBL2.2
Nitab4.5_0006307g0010.1	NtabBBL2.1
Solyc03g082470.2	SYR1
AT1G07390.1	ATRLP1
AT1G17240.1	ATRLP2
AT1G17250.1	ATRLP3
AT1G28340.1	ATRLP4
AT1G34290.1	ATRLP5
AT1G45616.1	ATRLP6
AT1G47890.1	ATRLP7
AT1G54480.1	ATRLP8
AT1G58190.1	ATRLP9
AT1G65380.1	ATRLP10
AT1G71390.1	ATRLP11
AT1G71400.1	ATRLP12
AT1G74170.1	ATRLP13
AT1G74180.1	ATRLP14
AT1G74190.1	ATRLP15
AT1G74200.1	ATRLP16
AT1G80080.1	ATRLP17
AT2G15040.1	ATRLP18
AT2G15080.1	ATRLP19
AT2G25440.1	ATRLP20
AT2G25470.1	ATRLP21
AT2G32660.1	ATRLP22
AT2G32680.1	ATRLP23
AT2G33020.1	ATRLP24
AT2G33030.1	ATRLP25
AT2G33050.1	ATRLP26
AT2G33060.1	ATRLP27
AT2G33080.1	ATRLP28
AT2G42800.1	ATRLP29
AT3G05360.1	ATRLP30
AT3G05370.1	ATRLP31
AT3G05650.1	ATRLP32
AT3G05660.1	ATRLP33
AT3G11010.1	ATRLP34
AT3G11080.1	ATRLP35
AT3G23010.1	ATRLP36
AT3G23110.1	ATRLP37
AT3G23120.1	ATRLP38
AT3G24900.1	ATRLP39
AT3G24982.1	ATRLP40
AT3G25010.1	ATRLP41
AT3G25020.1	ATRLP42
AT3G28890.1	ATRLP43
AT3G49750.1	ATRLP44
AT3G53240.1	ATRLP45
AT4G04220.1	ATRLP46
AT4G13810.1	ATRLP47
AT4G13880.1	ATRLP48
AT4G13900.1	ATRLP49
AT4G13920.1	ATRLP50
AT4G18760.1	ATRLP51
AT5G25910.1	ATRLP52
AT5G27060.1	ATRLP53
AT5G40170.1	ATRLP54
AT5G45770.1	ATRLP55
AT5G49290.1	ATRLP56
AT5G65830.1	ATRLP57
AT2G07120.1	PBL17
AT5G35580.1	PBL13
AT2G26290.1	PBL12
AT4G11280.1	ACS6
AT5G42650.1	AtAOS
AT3G28450.1	AtBIR2
AT1G27190.1	AtBIR3
AT5G48380.1	AtBIR1
AT1G71830.1	AtSERK1
AT1G34210.1	AtSERK2
AT2G13790.1	AtSERK4
AT2G13800.1	AtSERK5
AT4G33430.1	AtSERK3/BAK1
AT3G55450.1	PBL1
AT2G39660.1	BIK1
AT2G28930.1	PBL10
AT1G07570.1	PBL9
AT5G02290.1	PBL11
AT3G05360.1	RLP30
AT2G32680.1	RLP23
AT3G25020.1	RLP42
AT3G24900.1	RLP39
AT3G25010.1	RLP41
AT3G24982.1	RLP40
AT1G07390.1	ReMAX
AT1G80080.1	TMM
AT1G65380.1	CLV2
AT1G72300.1	PSY1R
AT1G74360.1	NILR
AT3G14840.1	LIK1
AT4G08850.1	MIK2
Os05g0110900.1	OsRLCK176
Solyc06g005500.2.1	TPK1b
Solyc01g009690.1.1	Cf-4
Solyc06g008300.2.1	Cf-5
Solyc09g005080.1.1	Ve1
Solyc07g008630.1.1	EIX2
Solyc08g016270.1.1	CuRE1
Solyc11g011180.1.1	I gene
AT1G07390.1	ReMAX
AT2G32680.1	RLP23
AT3G05360.1	RLP30
AT2G07120	PBL17
AT5G35580	PBL13
AT2G26290	PBL12
AT4G11280	ACS6
AT5G42650	AtAOS
AT3G28450	AtBIR2
AT1G27190	AtBIR3
AT5G48380	AtBIR1
AT1G71830	AtSERK1
AT1G34210	AtSERK2
AT2G13790	AtSERK4
AT2G13800	AtSERK5
AT4G33430	AtSERK3
AT3G55450	PBL1
AT2G39660	BIK1
AT2G28930	PBL10
AT1G07570	PBL9
AT5G02290	PBL11
AT3G05360	RLP30
AT2G32680	RLP23
AT3G25020	RLP42
AT3G24900	RLP39
AT3G25010	RLP41
AT3G24982	RLP40
AT1G07390	ReMAX
AT1G80080	TMM
AT1G65380	CLV2
AT1G72300	PSY1R
AT1G74360	NILR
AT3G14840	LIK1
AT4G08850	MIK2
Os05g0110900	OsRLCK176
Solyc06g005500.2	TPK1b
Solyc01g009690.1	Cf-4
Solyc06g008300.2	Cf-5
Solyc09g005080.1	Ve1
Solyc07g008630.1	EIX2
Solyc08g016270.1	CuRE1
Solyc11g011180.1	I gene
AT1G07390	ReMAX
AT2G32680	RLP23
AT3G05360	RLP30
Os04g0457800	OsSERK2
Os08g0174700	OsSERK1
