taxa	genome
Phvul.006G208100.1	Pvul218cds.fa
Phvul.007G086800.1	Pvul218cds.fa
Phvul.004G086300.1	Pvul218cds.fa
Phvul.002G207000.1	Pvul218cds.fa
Phvul.002G206900.1	Pvul218cds.fa
Phvul.002G064400.1	Pvul218cds.fa
Phvul.008G022700.1	Pvul218cds.fa
Phvul.004G046800.1	Pvul218cds.fa
Phvul.002G257000.1	Pvul218cds.fa
Phvul.001G252800.1	Pvul218cds.fa
Phvul.003G044400.1	Pvul218cds.fa
Phvul.003G152900.1	Pvul218cds.fa
Phvul.002G276900.1	Pvul218cds.fa
Phvul.006G174400.1	Pvul218cds.fa
Phvul.005G178500.1	Pvul218cds.fa
AT4G33430	TAIR10cds.fa
AT4G33430	TAIR10cds.fa
AT2G13790	TAIR10cds.fa
AT1G71830	TAIR10cds.fa
AT2G13800	TAIR10cds.fa
AT2G13800	TAIR10cds.fa
AT2G13800	TAIR10cds.fa
AT2G13800	TAIR10cds.fa
AT1G34210	TAIR10cds.fa
AT1G34210	TAIR10cds.fa
AT1G60800	TAIR10cds.fa
AT5G10290	TAIR10cds.fa
AT5G10290	TAIR10cds.fa
AT3G25560	TAIR10cds.fa
AT3G25560	TAIR10cds.fa
Vigun06g225500	Vung469cds.fa
Vigun07g209900	Vung469cds.fa
Vigun04g119400	Vung469cds.fa
Vigun03g133400	Vung469cds.fa
Vigun03g133600	Vung469cds.fa
Vigun02g079200	Vung469cds.fa
Vigun05g024300	Vung469cds.fa
Vigun04g068600	Vung469cds.fa
Vigun01g237300	Vung469cds.fa
Vigun03g077300	Vung469cds.fa
Vigun02g028600	Vung469cds.fa
Vigun03g375300	Vung469cds.fa
Vigun03g058900	Vung469cds.fa
Vigun06g189200	Vung469cds.fa
Vigun04g014700	Vung469cds.fa
