taxa	Garcia_Sl	Garcia_Se	Chen_Ha	
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1638098.1	100			
CAH1638098.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1637882.1	100			
CAH1635251.1	100			
CAH1635252.1	100			
CAH1635251.1	100			
CAH1635251.1	100			
CAH1635252.1	100			
CAH1635252.1	100			
CAH1635251.1	100			
CAH1635252.1	100			
CAH1635251.1	100			
CAH1635252.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635252.1	100			
CAH1635252.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635250.1	100			
CAH1635252.1	100			
CAH1635250.1	100			
CAH1635252.1	100			
CAH1635250.1	100			
CAH1635251.1	100			
CAH1635250.1	100			
